"male","outdegp","indegp","indeg","outdeg","age","agetodayf","agetodaym","ageatdeathf","ageatdeathm","fid","mid"
0,NA,NA,19,19,55.5999984741211,NA,NA,NA,NA,NA,NA
1,NA,NA,23,22,72.4199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,10,12,61.3899993896484,NA,NA,NA,NA,NA,NA
1,NA,NA,8,2,77.5800018310547,NA,NA,NA,NA,NA,NA
0,NA,NA,28,57,61.0299987792969,NA,NA,NA,NA,NA,NA
1,NA,NA,14,12,64.9199981689453,NA,NA,NA,NA,NA,NA
0,NA,NA,13,2,48.7099990844727,NA,NA,NA,NA,NA,NA
0,12,9,9,14,34.3300018310547,59.9799995422363,66.0400009155273,NA,NA,"h7q40","ig38n"
1,NA,NA,8,11,50.7700004577637,NA,NA,NA,NA,NA,NA
1,NA,NA,13,9,66.6399993896484,NA,NA,NA,NA,NA,NA
0,NA,NA,8,10,34.1800003051758,NA,NA,NA,NA,NA,NA
0,8,8,12,15,49.3199996948242,82.25,80.1100006103516,NA,NA,"w6bq0","e7w0v"
0,NA,NA,12,7,61.1300010681152,NA,NA,NA,NA,NA,NA
0,NA,NA,5,5,63.1100006103516,NA,NA,NA,NA,NA,NA
