"id","sex","age","weight","mid","agem","weightm","fid","agef","weightf"
"helhp",0,46.6333351135254,57.7992630004883,"sqz3r",68.8499984741211,51.1659088134766,"ajfh2",NA,NA
"ehcn8",1,48.6285705566406,59.7196731567383,"y5sge",NA,NA,"mkdc1",NA,NA
"g9v9n",1,42.7750015258789,53.7579536437988,"cah4g",NA,NA,"ti0tk",NA,NA
"a39nz",0,44.481819152832,47.4136734008789,"c541f",NA,NA,"t9e3c",NA,NA
"s087p",0,45.125,53.4090919494629,"fk62t",NA,NA,"if137",NA,NA
"ck8xo",0,41,48.9300384521484,"obizp",NA,NA,"zmnh4",NA,NA
"xm4wf",1,41.375,61.7811164855957,"rpg2n",NA,NA,"tx3p1",NA,NA
"p7foe",1,NA,NA,"fhath",NA,NA,"c7e2l",NA,NA
"jafnz",1,47.5800018310547,53.051570892334,"ef1cp",NA,NA,"mfg36",NA,NA
"clv7v",0,45.2999992370605,44.4287872314453,"syqd1",NA,NA,"a9883",62.5999984741211,53.9984855651855
"aeccm",1,52,52.8432350158691,"oixsj",NA,NA,"n0l98",NA,NA
"kbdcj",0,38.8444442749023,43.7391967773438,"rpg2n",NA,NA,"tx3p1",NA,NA
"qb3rk",1,41.6416664123535,58.3839683532715,"t24q8",NA,NA,"gz5tt",NA,NA
"fj8v0",1,43.0999984741211,66.5151519775391,"z468m",NA,NA,"wr1vm",NA,NA
"fgbl9",0,36.3624992370605,50.8250007629395,"ef1cp",NA,NA,"mfg36",NA,NA
"onlsn",0,36.3875007629395,53.5193176269531,"y4z85",NA,NA,"hpkwa",NA,NA
"i6hdu",1,54.5,51.5,"fo1eg",53.75,45.018180847168,"jab4i",68.2200012207031,50.5563621520996
"rf46q",1,37.3250007629395,55.0045471191406,"d4dx5",NA,NA,"vo53y",NA,NA
"xocc9",0,31.6499996185303,43.3333320617676,"anyic",NA,NA,"i9p6g",NA,NA
"zezp4",0,35.5888900756836,45.2306823730469,"shhty",NA,NA,"tx3p1",NA,NA
"zwva2",1,43.1333351135254,59.2424240112305,"cpu4p",NA,NA,"kw245",NA,NA
"zfcxq",1,47.1300010681152,68.7328186035156,"onjlz",NA,NA,"t40eg",NA,NA
"efblh",1,43.1333351135254,67.7272720336914,"vy2s8",77.0999984741211,48.6363639831543,"xb90n",NA,NA
"cjpdw",1,33.75,59.831169128418,"l70m3",NA,NA,"xa858",NA,NA
"ht8ko",0,39.2357139587402,54.1202926635742,"ow34o",NA,NA,"wa0e3",NA,NA
"s133e",0,45.439998626709,63.9090919494629,"fk62t",NA,NA,"nslxn",NA,NA
"i6c8p",1,34.7777786254883,56.902416229248,"v298i",NA,NA,"b7ofy",NA,NA
"agv9z",1,34.1500015258789,58.7295455932617,"w9hlz",NA,NA,"ij4r2",NA,NA
"s8m8b",1,37.2999992370605,59.222728729248,"y5sge",NA,NA,"mkdc1",NA,NA
"eingc",1,NA,NA,"g40o2",NA,NA,"jab4i",68.2200012207031,50.5563621520996
"tkg2y",1,NA,NA,"c77oi",NA,NA,"dex7o",67.7399978637695,54.3199996948242
"y792a",1,NA,NA,"drnmm",NA,NA,"i54xq",NA,NA
"w0tca",1,42.0999984741211,58.6363639831543,"oixsj",NA,NA,"n0l98",NA,NA
"vz5m3",0,32.7999992370605,48,"ef1cp",NA,NA,"mfg36",NA,NA
"ql281",1,42.7857131958008,59.4100723266602,"onjlz",NA,NA,"t40eg",NA,NA
"ijlsd",1,NA,NA,"n4ogz",NA,NA,"mte96",NA,NA
"mrrw3",1,33.1888885498047,66.136360168457,"ys4es",NA,NA,"rsh3b",NA,NA
"bnu4a",1,NA,NA,"anyic",NA,NA,"i9p6g",NA,NA
"y0v7c",0,44.4799995422363,54.0967826843262,"sqz3r",68.8499984741211,51.1659088134766,"ajfh2",NA,NA
"rcu8g",1,NA,NA,"gu3fp",NA,NA,"bolzd",NA,NA
"e10o0",1,NA,NA,"p96fy",NA,NA,"nszsd",NA,NA
"ph4od",1,NA,NA,"fdmbo",NA,NA,"p63wa",NA,NA
"jv7qf",0,35.5,54.4665222167969,"v298i",NA,NA,"b7ofy",NA,NA
"z8iw2",1,30.9799995422363,58.7000007629395,"y4z85",NA,NA,"hpkwa",NA,NA
"tlq35",0,32.1500015258789,61.0045471191406,"vy2s8",77.0999984741211,48.6363639831543,"xb90n",NA,NA
"yg14z",0,NA,NA,"oixsj",NA,NA,"n0l98",NA,NA
"tw28g",1,30.1363639831543,60.0438003540039,"rpg2n",NA,NA,"jkua7",NA,NA
"zmac1",0,NA,NA,"ju5v0",NA,NA,"rsh3b",NA,NA
"hi4lb",1,NA,NA,"shhty",NA,NA,"ajfh2",NA,NA
"nr6xw",1,30.6636371612549,58.4745445251465,"xzvd4",NA,NA,"jauaw",63.7666664123535,62.533332824707
"su0sa",0,32.8166656494141,53.8515701293945,"kemrk",NA,NA,"e2swg",NA,NA
"hc6hr",1,NA,NA,"c541f",NA,NA,"t9e3c",NA,NA
"qiqcb",0,NA,NA,"gio1i",NA,NA,"jtw3m",NA,NA
"ypc87",0,31.341667175293,52.5454559326172,"rpg2n",NA,NA,"jkua7",NA,NA
"jvda8",0,30.0499992370605,58.2400016784668,"ow34o",NA,NA,"wa0e3",NA,NA
"auafz",1,44.2599983215332,65.7303771972656,"g40o2",NA,NA,"jab4i",68.2200012207031,50.5563621520996
"pc9un",1,33.0750007629395,59.618579864502,"ys4es",NA,NA,"rsh3b",NA,NA
"ljrzf",0,37.2388877868652,42.8680648803711,"ef1cp",NA,NA,"mfg36",NA,NA
"wyb16",0,31.7399997711182,54,"f9x2p",NA,NA,"ab96c",NA,NA
"zt44k",1,28.7999992370605,54.3575744628906,"e1tee",NA,NA,"a9883",62.5999984741211,53.9984855651855
"tvryi",0,40.0625,58.7679672241211,"kemrk",NA,NA,"e2swg",NA,NA
"h0dh4",1,30.8833332061768,56.2042808532715,"j83qu",NA,NA,"iu3vx",NA,NA
"trwfn",0,NA,NA,"dum4r",NA,NA,"nvtii",57.1238098144531,58.7577514648438
"kr65z",0,NA,NA,"c77oi",NA,NA,"dex7o",67.7399978637695,54.3199996948242
"h0c8f",0,NA,NA,"z468m",NA,NA,"tx3p1",NA,NA
"nkmld",1,36.8333320617676,74.7376174926758,"ryeuy",NA,NA,"uxm5x",NA,NA
"gd2mz",1,35.6071434020996,64.1045455932617,"syqd1",NA,NA,"r8sat",NA,NA
"ch9gq",0,NA,NA,"sqz3r",68.8499984741211,51.1659088134766,"ajfh2",NA,NA
"f2aqn",1,NA,NA,"g40o2",NA,NA,"jab4i",68.2200012207031,50.5563621520996
