"male","age","RS","agef","RSf","RSma","RSmidpointf","fid"
1,36,7,66,10,6.67999982833862,7.5,198
1,42,9,78,16,6.51999998092651,10.5,473
1,52,6,80,14,6,11,424
1,40,8,74,13,7.67999982833862,8,378
0,54,11,76,9,10.8400001525879,6.5,222
1,32,6,85,21,5.51999998092651,13.5,331
1,44,12,74,13,11.6400003433228,8.5,378
1,33,8,68,26,7.67999982833862,16.5,292
0,53,9,83,14,9,8.5,250
1,34,5,NA,NA,NA,NA,NA
1,56,10,90,31,9.68000030517578,21.5,762
1,79,23,NA,NA,NA,NA,NA
0,29,NA,84,24,NA,NA,134
1,44,6,NA,NA,NA,NA,NA
1,56,9,84,41,9,25.5,144
1,40,12,74,13,11.6400003433228,8.5,378
1,32,0,80,14,0,11,424
0,34,4,90,23,4,14,155
1,40,1,85,21,0.839999973773956,14,331
0,36,4,90,31,4,19.5,762
0,35,3,90,31,3,21,762
0,41,4,68,26,4,18,292
1,38,4,75,17,3.51999998092651,11.5,151
1,51,20,NA,NA,NA,NA,NA
0,46,7,73,22,7,14.5,770
1,62,11,90,31,10.6800003051758,21,762
1,54,4,87,21,4,14,112
1,41,2,NA,NA,NA,NA,NA
1,34,4,71,24,3.51999998092651,15.5,267
0,17,NA,85,21,NA,NA,331
1,72,6,NA,NA,NA,NA,NA
0,60,4,87,21,4,13.5,112
1,40,13,NA,NA,NA,NA,NA
1,83,14,NA,NA,NA,NA,NA
1,51,9,74,13,6.51999998092651,8.5,378
1,66,4,90,31,4,21.5,762
0,30,6,NA,NA,NA,NA,NA
1,45,7,80,14,6.84000015258789,11,424
0,38,8,71,24,7.84000015258789,16.5,267
0,44,4,90,23,4,15,155
1,83,32,NA,NA,NA,NA,NA
1,58,8,87,21,8,13.5,112
1,60,9,93,25,9,16,298
1,38,5,73,11,4.67999982833862,7.5,921
0,35,6,68,26,5.67999982833862,18,292
0,57,8,93,25,8,15.5,298
1,59,5,93,25,5,16,298
1,59,23,NA,NA,NA,NA,NA
1,60,16,NA,NA,NA,NA,NA
0,15,NA,84,24,NA,NA,134
1,32,10,NA,NA,NA,NA,NA
1,61,12,92,29,12,19,882
1,40,3,87,21,2.6800000667572,14,112
1,44,4,92,29,3.83999991416931,19.5,882
0,30,3,90,31,2.6800000667572,19.5,762
1,34,6,78,16,5.67999982833862,10.5,473
0,74,9,NA,NA,NA,NA,NA
1,46,6,75,17,5.67999982833862,11.5,151
1,78,23,NA,NA,NA,NA,NA
1,19,NA,79,23,NA,NA,444
1,49,5,79,20,5,13.5,114
0,35,NA,85,32,NA,NA,432
1,33,4,NA,NA,NA,NA,NA
0,51,6,87,21,6,13.5,112
0,44,NA,74,13,NA,NA,378
0,39,NA,84,24,NA,NA,134
1,43,6,NA,NA,NA,NA,NA
1,47,5,84,41,5,25,144
1,34,8,NA,NA,NA,NA,NA
0,41,10,79,20,9.68000030517578,13.5,114
1,37,5,71,24,4.84000015258789,15.5,267
0,15,NA,68,26,NA,NA,292
0,39,NA,93,25,NA,NA,298
1,58,6,NA,NA,NA,NA,NA
1,90,31,NA,NA,NA,NA,NA
1,51,20,93,25,19.0599994659424,15.5,298
0,21,NA,84,41,NA,NA,144
1,31,7,84,24,6.67999982833862,14.5,134
1,44,5,68,26,4.84000015258789,14,292
1,37,7,73,12,6.51999998092651,8,212
0,13,NA,90,31,NA,NA,762
1,41,8,90,31,7.84000015258789,21,762
1,40,6,84,24,5.84000015258789,14.5,134
0,54,NA,93,25,NA,NA,298
0,39,NA,77,14,NA,NA,332
1,61,17,NA,NA,NA,NA,NA
1,39,6,73,12,5.67999982833862,8.5,212
0,46,6,77,14,5.84000015258789,9.5,332
0,32,3,75,17,3,11.5,151
0,46,7,92,29,6.84000015258789,19.5,882
0,21,NA,79,23,NA,NA,444
0,33,0,66,10,0,7.5,198
0,17,NA,90,23,NA,NA,155
1,47,14,79,20,13.3800001144409,13.5,114
1,37,8,77,14,7.51999998092651,9.5,332
1,50,5,80,14,5,10,424
1,13,NA,68,26,NA,NA,292
1,42,11,92,29,10.8400001525879,19.5,882
0,46,9,74,13,9,8,378
0,76,4,NA,NA,NA,NA,NA
1,44,10,75,17,9.85999965667725,12.5,151
1,14,NA,79,23,NA,NA,444
0,34,4,87,21,4,14.5,112
1,79,20,NA,NA,NA,NA,NA
1,46,8,87,21,7.67999982833862,14,112
0,40,NA,90,31,NA,NA,762
1,36,7,NA,NA,NA,NA,NA
0,37,6,77,14,5.84000015258789,9,332
1,44,9,92,29,6.51999998092651,19,882
1,33,3,90,23,3,15.5,155
0,73,6,NA,NA,NA,NA,NA
1,43,4,90,23,3.83999991416931,13,155
1,76,9,NA,NA,NA,NA,NA
0,37,6,92,29,5.67999982833862,19.5,882
1,33,5,75,17,4.67999982833862,12.5,151
