"age","agem","rs","rsm","mid"
22,40,0.970000028610229,5,"y162z"
34,60,4.94000005722046,7,"fjl58"
46,61,NA,5,"vrz4n"
33,72,5.90999984741211,6,"kaeup"
10,58,NA,6,"ibhju"
17,50,NA,9,"k8fm2"
37,58,NA,8,"o8924"
52,60,3,5,"jo5tb"
30,70,NA,9,"kdmez"
50,80,9,4,"m2mlx"
20,45,1.94000005722046,4,"wqp2q"
23,52,NA,5,"nfm2m"
38,58,6.96999979019165,11,"ozozn"
14,43,NA,10,"cb5aw"
48,85,NA,8,"hm0rx"
23,45,NA,7,"v8opa"
20,48,NA,9,"cdme4"
15,38,NA,8,"yiq82"
17,45,NA,11,"j7rjy"
24,60,NA,9,"i3oyv"
26,52,2.97000002861023,5,"nfm2m"
37,65,6.90999984741211,9,"de3wm"
35,40,5.94000005722046,2,"gzgtw"
13,38,NA,6,"pbuys"
12,42,NA,7,"w4iyd"
38,70,5.96999979019165,3,"k3cf7"
26,40,1.97000002861023,6,"mxz5k"
35,33,NA,4,"ec5zn"
16,55,NA,10,"bgwy5"
26,46,2.94000005722046,5,"d2gr7"
19,46,0.970000028610229,3,"m2zj3"
32,64,5.94000005722046,4,"o04z5"
27,58,3.94000005722046,5,"odd2j"
15,53,NA,10,"y11gv"
33,75,4.96999979019165,8,"d8qwy"
46,65,NA,6,"uhusz"
24,48,3.94000005722046,5,"yn1z3"
34,60,NA,6,"itajc"
29,55,NA,10,"vuet1"
25,40,1,5,"hondf"
27,60,NA,9,"pjgsp"
26,55,NA,10,"ngtae"
20,50,1.94000005722046,5,"oyul1"
18,53,NA,10,"y11gv"
43,81,5,6,"q0o85"
34,70,NA,8,"wa2ph"
17,42,NA,7,"w4iyd"
24,48,1.94000005722046,11,"ntavw"
22,45,1.94000005722046,9,"a54xs"
22,55,1.94000005722046,10,"bgwy5"
19,55,NA,11,"qgkoa"
45,60,3,8,"r58b3"
25,50,NA,9,"heaar"
24,58,NA,7,"afx6w"
34,56,NA,12,"ksnm9"
34,55,2.97000002861023,2,"tvgo2"
33,56,NA,12,"ksnm9"
40,61,4.96999979019165,5,"vrz4n"
51,55,NA,2,"ibwxm"
22,49,NA,5,"ao72k"
26,54,0.970000028610229,5,"bxfte"
45,30,5,1,"a7sf2"
43,67,6.96999979019165,2,"gwwlt"
58,92,NA,10,"f4es3"
34,60,NA,4,"l17yh"
50,70,6,7,"sg3tg"
35,67,NA,9,"wekcj"
60,60,NA,5,"uww01"
22,65,0.970000028610229,5,"n5dm8"
28,50,2.91000008583069,5,"fx1zf"
27,32,5.94000005722046,4,"g5kqq"
25,62,NA,12,"sxfsh"
13,50,NA,11,"vry4e"
25,48,1,8,"ygx40"
62,95,NA,3,"tnsug"
18,49,NA,7,"wtf5q"
24,60,NA,7,"wlg1o"
42,65,8,6,"h1t8z"
17,45,NA,7,"v8opa"
34,65,4.96999979019165,4,"u8gkj"
67,69,NA,3,"m8dws"
12,43,NA,10,"cb5aw"
21,55,NA,5,"stggx"
28,70,NA,6,"tkdoz"
11,48,NA,12,"vhzcq"
28,50,NA,9,"ugvmv"
30,65,4.94000005722046,6,"r29av"
25,40,1.94000005722046,4,"k6c4r"
30,47,1.94000005722046,3,"rrncl"
21,60,NA,11,"g5hox"
20,58,NA,7,"afx6w"
30,60,1.97000002861023,9,"gayo6"
35,50,7.90999984741211,9,"v06qq"
35,57,0,4,"f4uci"
28,66,NA,11,"a0n7r"
47,75,NA,4,"aj20h"
36,52,4,4,"d2azh"
40,68,NA,7,"eelt2"
26,50,1.97000002861023,5,"oyul1"
23,46,NA,7,"vk402"
19,68,0.970000028610229,10,"e5p8j"
43,62,7,3,"iwtii"
32,70,NA,4,"qv81k"
45,68,4.96999979019165,4,"x7s16"
16,43,NA,5,"tjjto"
23,52,NA,4,"isava"
24,67,3.94000005722046,9,"wekcj"
25,50,1.97000002861023,4,"bg7lz"
40,65,NA,6,"r29av"
24,58,3.91000008583069,8,"o8924"
37,68,1,6,"gyq2m"
17,56,NA,8,"yw5xv"
29,58,NA,7,"jccuf"
27,60,0.970000028610229,6,"j3sa1"
19,40,NA,5,"btx82"
38,44,NA,4,"uc4m0"
45,65,NA,3,"tupu6"
40,70,NA,4,"qv81k"
28,49,2.94000005722046,3,"ke7ke"
35,60,4,7,"xvkng"
29,70,NA,9,"cma7u"
23,60,1.94000005722046,9,"pjgsp"
57,70,NA,3,"mzw2c"
10,52,NA,5,"uycod"
38,61,1.97000002861023,4,"sjc7n"
32,61,5.90999984741211,4,"sjc7n"
27,50,3.97000002861023,8,"fbbhk"
68,50,NA,4,"hle9p"
35,70,2.97000002861023,7,"yv4uu"
21,55,NA,8,"mwwn8"
45,38,NA,6,"i6dkg"
34,57,4.96999979019165,2,"e5krc"
40,67,NA,6,"o1rqg"
62,86,12,9,"xlgcy"
25,51,NA,5,"m40sx"
28,48,4.94000005722046,10,"ntavw"
33,50,NA,4,"r8nn6"
28,75,5.88000011444092,8,"dtpws"
37,56,5.94000005722046,8,"yw5xv"
40,67,3,6,"xklbs"
48,70,NA,7,"yv4uu"
14,45,NA,9,"a54xs"
58,87,NA,8,"u0vmd"
50,58,8,4,"ayviz"
27,46,2.94000005722046,7,"u17p1"
47,75,NA,10,"xxdzw"
22,59,0.970000028610229,8,"kacff"
21,55,0.970000028610229,9,"o80eg"
46,67,8,5,"gw1ci"
52,70,7,7,"mi70s"
19,46,NA,7,"vk402"
25,52,NA,7,"idqqb"
13,47,NA,5,"iklhl"
28,65,4.90999984741211,4,"ifbz2"
27,40,NA,4,"by9xq"
32,53,NA,6,"rasw8"
38,67,NA,3,"way8p"
24,55,2.94000005722046,5,"b8iim"
38,28,5.96999979019165,2,"c43u3"
20,48,2.94000005722046,4,"pjn7i"
36,75,5.96999979019165,8,"dtpws"
33,50,3,4,"oyh52"
28,48,3.97000002861023,3,"n5xnn"
40,58,7.96999979019165,5,"u2q34"
11,50,NA,8,"fbbhk"
29,53,NA,7,"qjexn"
21,42,0.970000028610229,2,"va5ms"
34,60,NA,9,"x4kex"
16,55,NA,8,"wd0fu"
27,50,NA,12,"duv1t"
55,70,6,4,"ukbym"
26,62,1.94000005722046,6,"plrjn"
16,50,NA,9,"heaar"
45,80,NA,4,"lfsgb"
28,50,4.94000005722046,4,"rxbpl"
26,46,1.94000005722046,10,"hw3g2"
25,49,1.94000005722046,4,"j67gw"
36,55,NA,2,"tnkfw"
28,60,3.91000008583069,9,"x4kex"
48,22,6,2,"jh6nq"
28,49,4.94000005722046,9,"a5sbo"
36,55,7.94000005722046,4,"w1dxq"
60,65,6,4,"oydr4"
50,22,12,1,"vowy3"
37,63,NA,6,"ik333"
21,50,NA,9,"b4d7y"
38,36,3.97000002861023,5,"jbocc"
40,49,1,3,"n3012"
40,55,6.96999979019165,2,"ibwxm"
22,56,NA,11,"bdm73"
23,55,0.970000028610229,3,"enc1k"
29,48,3.97000002861023,2,"mxy3j"
21,63,1.94000005722046,8,"nehnr"
20,37,NA,6,"r1jih"
22,55,0,7,"rnqvr"
15,37,NA,6,"r1jih"
19,48,NA,8,"ygx40"
62,87,NA,8,"u0vmd"
48,66,NA,11,"a0n7r"
30,56,NA,12,"ksnm9"
31,63,1.97000002861023,6,"ik333"
23,38,1.94000005722046,3,"yt80y"
23,62,NA,12,"sxfsh"
18,38,NA,6,"s7spt"
35,55,4.94000005722046,4,"gh741"
24,48,3.94000005722046,4,"ooyen"
29,60,NA,4,"wtptz"
22,68,1.94000005722046,10,"e5p8j"
49,70,NA,7,"mi70s"
22,60,1.94000005722046,7,"sju2c"
50,65,NA,8,"anh7f"
52,24,5,2,"qqnzz"
22,50,NA,8,"fsj61"
54,92,NA,9,"xwhnw"
40,65,NA,5,"n5dm8"
31,53,3.91000008583069,10,"y11gv"
36,65,NA,3,"jxo1m"
24,55,2.97000002861023,7,"gsu3t"
30,70,NA,8,"wa2ph"
25,50,NA,5,"iez3d"
25,60,NA,6,"f232p"
35,59,NA,6,"dx3ep"
20,42,NA,3,"gdato"
45,55,1,4,"nfukx"
62,60,NA,11,"mipmh"
65,85,NA,8,"hm0rx"
23,63,NA,8,"nehnr"
46,66,7.96999979019165,5,"p7pq3"
30,57,2.97000002861023,6,"wqhan"
50,80,NA,4,"q3vc2"
19,60,NA,6,"f232p"
28,65,6.90999984741211,4,"xwls4"
28,56,4,7,"kowj3"
65,60,NA,2,"f32k4"
30,66,NA,6,"lc5n8"
25,60,2.97000002861023,4,"c7yvh"
13,50,NA,5,"tx9ft"
35,65,4.96999979019165,3,"m08yj"
10,36,NA,5,"jbocc"
44,60,NA,9,"t1ymr"
25,52,4.90999984741211,4,"isava"
45,70,10.9099998474121,4,"j7uxe"
16,63,NA,9,"r5c5y"
34,65,3.97000002861023,10,"kwk6n"
46,66,NA,2,"mu8ah"
60,79,NA,7,"m57fi"
12,40,NA,3,"qusic"
30,61,NA,5,"vrz4n"
25,60,2.94000005722046,3,"h9xex"
22,30,1.94000005722046,4,"orm1g"
48,68,NA,7,"v0e5z"
36,60,NA,7,"e68bt"
41,70,5,5,"q2hw8"
36,60,4.96999979019165,11,"g5hox"
35,80,NA,5,"vupk7"
24,42,NA,6,"oisal"
26,50,NA,5,"q13y8"
32,40,NA,3,"nbwhf"
22,39,2.94000005722046,7,"yddkt"
60,75,5,4,"dgmu7"
14,59,NA,6,"mte8w"
38,50,3.97000002861023,7,"l073x"
30,62,3,9,"pmofb"
22,38,0.970000028610229,6,"s7spt"
16,56,NA,11,"bdm73"
60,60,9,5,"nz1qx"
35,54,2,4,"r3blx"
35,65,2.97000002861023,3,"bqciz"
14,55,NA,6,"s45z8"
43,56,8,4,"ny63d"
30,55,NA,10,"bgwy5"
45,70,3,4,"upwcd"
55,44,5,5,"d79bz"
62,85,NA,8,"oyq56"
35,65,5.94000005722046,3,"phtzx"
63,65,NA,4,"oydr4"
42,75,NA,6,"p5c0i"
20,50,NA,7,"h93jq"
55,57,3,4,"hpt4n"
32,58,NA,7,"qs1uh"
15,55,NA,10,"vuet1"
20,56,2.91000008583069,12,"ksnm9"
32,58,NA,7,"jccuf"
30,50,2.97000002861023,7,"l073x"
15,60,NA,11,"g5hox"
20,48,NA,12,"vhzcq"
50,80,NA,5,"msiya"
21,60,1.94000005722046,3,"fz8p2"
25,58,NA,4,"ayviz"
45,81,NA,6,"q0o85"
34,60,3.97000002861023,5,"ydv94"
41,70,NA,9,"cma7u"
33,49,2,9,"a5sbo"
11,53,NA,10,"y11gv"
40,60,7.94000005722046,9,"gayo6"
31,57,5.94000005722046,9,"xifvm"
58,60,12,11,"mipmh"
52,72,3,5,"y1u6v"
54,60,NA,5,"uww01"
10,37,NA,6,"r1jih"
38,48,NA,6,"unvd7"
17,56,NA,5,"tkcj1"
18,55,NA,5,"stggx"
25,50,NA,6,"nbwcz"
25,50,2.94000005722046,8,"fsj61"
22,60,NA,5,"b8iim"
15,60,NA,6,"qosww"
19,50,1.94000005722046,9,"k8fm2"
32,55,NA,4,"yjebm"
30,65,2.97000002861023,6,"dglw0"
65,65,NA,4,"oydr4"
30,50,2.97000002861023,9,"ugvmv"
19,50,1.94000005722046,6,"enwkz"
30,67,1.94000005722046,9,"wekcj"
30,75,NA,8,"dtpws"
11,39,NA,7,"yfcbf"
18,47,NA,9,"tfh3n"
15,65,NA,4,"g61mf"
17,70,NA,4,"tz29i"
28,50,2.94000005722046,5,"j5y0k"
29,65,2,5,"oqstl"
25,60,NA,3,"x0e3k"
33,52,5.90999984741211,10,"fzvm5"
31,65,5.94000005722046,8,"ewoiz"
24,44,1.97000002861023,4,"uc4m0"
19,28,0.970000028610229,2,"o2rvn"
49,72,NA,6,"kaeup"
34,40,NA,4,"k6c4r"
12,80,NA,6,"owp8o"
29,58,NA,7,"qs1uh"
28,52,2.91000008583069,10,"xh9di"
26,50,NA,10,"w3aqe"
31,63,NA,12,"ryo04"
25,65,NA,4,"ifbz2"
43,78,NA,6,"ko9fb"
31,50,6.94000005722046,7,"h93jq"
27,52,NA,7,"idqqb"
31,60,NA,5,"bz5ry"
42,60,NA,4,"o8es2"
13,46,NA,10,"hw3g2"
30,46,4,5,"ojoug"
33,53,5.94000005722046,7,"qjexn"
35,70,6.94000005722046,4,"qv81k"
25,54,2.94000005722046,4,"ypydn"
23,40,1.97000002861023,8,"hd8hz"
49,70,NA,7,"yv4uu"
30,50,3.94000005722046,4,"oyh52"
20,38,NA,8,"yiq82"
15,38,NA,3,"l5sz0"
26,59,2.94000005722046,6,"cr3gb"
40,33,NA,4,"ec5zn"
28,70,1.97000002861023,3,"qd5ax"
45,70,6,7,"ftbpj"
40,38,NA,6,"i6dkg"
24,55,NA,10,"vuet1"
27,60,NA,11,"g5hox"
32,65,NA,6,"dglw0"
25,48,NA,4,"hn0he"
38,70,NA,9,"used7"
23,40,NA,6,"a3bht"
16,40,NA,5,"hondf"
60,87,NA,8,"u0vmd"
19,42,NA,6,"cgs9a"
40,88,5,10,"fp9vo"
11,50,NA,5,"soj4c"
15,48,NA,8,"ygx40"
28,50,2.91000008583069,7,"l073x"
27,58,NA,7,"jccuf"
39,68,4.96999979019165,2,"h7la1"
32,50,NA,10,"w3aqe"
50,75,NA,8,"dtpws"
10,46,NA,6,"sbmqg"
30,50,4.96999979019165,4,"ubrvs"
13,40,NA,5,"btx82"
52,87,2,8,"u0vmd"
49,65,1,3,"x7ku6"
20,49,1.94000005722046,9,"a5sbo"
21,65,1.94000005722046,10,"kwk6n"
14,62,NA,12,"sxfsh"
20,39,0.970000028610229,7,"yfcbf"
22,61,1.94000005722046,8,"rr4o0"
41,70,5,3,"g2xew"
33,55,5.96999979019165,5,"stggx"
25,49,2.94000005722046,5,"ao72k"
34,60,6.96999979019165,5,"uki1j"
50,70,7,2,"eqkq7"
24,45,0.970000028610229,3,"vh6b7"
37,58,5.96999979019165,5,"w3hcx"
45,60,9.9399995803833,4,"w391w"
17,50,NA,5,"iez3d"
37,68,NA,6,"apk91"
39,63,NA,12,"ryo04"
33,77,NA,5,"mql50"
29,46,1.97000002861023,4,"htia3"
33,65,5.94000005722046,8,"anh7f"
61,60,8,6,"f232p"
29,60,3.97000002861023,10,"avn7i"
40,58,2,3,"z34fl"
35,65,5.96999979019165,6,"el16l"
40,67,5.94000005722046,5,"r8qss"
26,49,NA,7,"dowxd"
32,67,NA,9,"wekcj"
58,44,5,5,"m36tj"
30,44,NA,5,"m36tj"
37,62,4,9,"wxzo3"
42,65,6.96999979019165,2,"y110b"
40,26,5,3,"n0el4"
35,55,NA,7,"gsu3t"
10,46,NA,10,"hw3g2"
24,54,NA,5,"v6ibx"
33,40,5.96999979019165,4,"k3sb4"
28,50,NA,6,"nbwcz"
30,70,0,6,"w0n5m"
40,60,NA,8,"m7v35"
29,62,NA,12,"sxfsh"
33,68,4.94000005722046,10,"e5p8j"
26,60,NA,9,"t1ymr"
27,37,2.97000002861023,1,"zbew1"
35,61,3,4,"sjc7n"
56,60,5,5,"uww01"
48,70,5,4,"ukbym"
38,75,NA,6,"p5c0i"
34,65,7,8,"fn6n5"
38,60,NA,9,"x4kex"
30,40,0.970000028610229,2,"u5jje"
39,75,NA,2,"upd0c"
24,55,NA,10,"bgwy5"
60,80,9,5,"y1u6v"
52,79,6,7,"m57fi"
38,59,NA,6,"dx3ep"
12,52,NA,10,"fzvm5"
26,57,NA,6,"wqhan"
11,71,NA,5,"y8j2x"
38,30,4.94000005722046,1,"yeqos"
50,80,7,6,"owp8o"
17,43,0,10,"cb5aw"
23,45,NA,11,"j7rjy"
35,68,NA,7,"eelt2"
17,52,NA,10,"fzvm5"
12,56,NA,12,"ksnm9"
12,50,NA,9,"dqhss"
20,35,NA,5,"zgsuy"
43,67,5,7,"qa7nu"
36,70,4,6,"j0u0h"
28,60,4.94000005722046,5,"bz5ry"
40,68,5,6,"apk91"
21,50,NA,9,"k8fm2"
25,48,3.94000005722046,5,"zlf1e"
20,60,NA,7,"suu12"
10,47,NA,8,"ubl1g"
46,67,NA,7,"wtdom"
30,70,4.94000005722046,8,"ds7f0"
30,62,NA,9,"wxzo3"
22,43,2.94000005722046,5,"yaihn"
45,54,8,4,"fdy4i"
23,50,0.970000028610229,9,"b4d7y"
16,47,NA,8,"ubl1g"
18,52,NA,5,"nfm2m"
33,54,4.94000005722046,5,"v6ibx"
56,65,NA,5,"mexw8"
55,75,3.94000005722046,8,"dtpws"
36,70,NA,9,"oqrfh"
37,71,NA,5,"y8j2x"
38,65,NA,10,"kwk6n"
54,54,NA,4,"fdy4i"
25,65,2.97000002861023,4,"xwls4"
27,50,NA,9,"b4d7y"
30,80,2.97000002861023,3,"uswn8"
23,50,NA,8,"oh95h"
27,56,NA,12,"ksnm9"
20,38,NA,9,"uypcu"
38,62,NA,9,"wxzo3"
34,65,NA,6,"r29av"
42,68,NA,4,"x7s16"
26,50,1.94000005722046,12,"pwhmy"
28,60,NA,6,"p4m6o"
40,62,9.90999984741211,6,"rxl77"
44,50,4,9,"v06qq"
14,42,NA,7,"w4iyd"
27,42,1.97000002861023,4,"sjv0v"
11,45,NA,5,"nbqlt"
15,40,NA,9,"b7oyg"
50,65,8,3,"jxo1m"
25,46,3.91000008583069,7,"vk402"
38,70,4,6,"vqqyd"
50,55,NA,4,"nfukx"
23,72,NA,3,"grc3l"
26,68,NA,6,"gyq2m"
56,60,NA,11,"mipmh"
22,44,1.97000002861023,6,"amln4"
25,60,2,6,"j3sa1"
27,60,NA,10,"avn7i"
50,71,11,9,"zetyc"
67,57,5,3,"p54n5"
28,38,NA,6,"i6dkg"
42,81,9.90999984741211,2,"pzej5"
34,70,3.97000002861023,8,"zttcm"
20,56,NA,8,"yw5xv"
32,35,NA,2,"hmgnf"
50,70,4,9,"oqrfh"
32,55,3.97000002861023,2,"tnkfw"
17,50,0.970000028610229,9,"b4d7y"
45,86,NA,6,"b3pzu"
28,50,NA,10,"j03tu"
36,30,5.94000005722046,3,"ydscp"
62,70,NA,7,"sg3tg"
30,60,1.94000005722046,7,"adwjh"
20,49,NA,9,"a5sbo"
23,70,NA,6,"vqqyd"
22,60,NA,8,"zotxz"
24,50,2,8,"kg73z"
25,60,NA,7,"x1kxa"
48,52,12,4,"yx4e5"
32,60,3,8,"zotxz"
14,56,NA,12,"ksnm9"
54,75,11,5,"sgiy6"
40,70,NA,5,"q2ln4"
13,46,NA,7,"vk402"
10,43,NA,7,"vblxz"
54,65,NA,5,"mexw8"
19,45,NA,8,"aws1q"
35,66,1,2,"mu8ah"
20,43,NA,7,"vblxz"
21,61,NA,8,"iqfel"
50,75,NA,10,"xxdzw"
42,70,NA,6,"vqqyd"
42,60,NA,9,"wfeiv"
25,54,1.97000002861023,3,"mgmff"
31,50,6.94000005722046,9,"heaar"
40,75,NA,4,"aj20h"
45,60,0,5,"jo5tb"
26,70,3.94000005722046,7,"yv4uu"
25,40,0.970000028610229,8,"hd8hz"
57,70,7,7,"ea136"
46,25,5.96999979019165,2,"vqags"
16,46,NA,5,"ojoug"
13,28,NA,2,"o2rvn"
38,67,5.94000005722046,6,"o1rqg"
30,65,2.97000002861023,3,"trowy"
23,60,1.94000005722046,10,"avn7i"
35,57,NA,4,"f4uci"
15,40,NA,6,"ve49r"
60,57,NA,3,"p54n5"
25,53,NA,7,"qjexn"
57,86,NA,9,"xlgcy"
24,65,0.970000028610229,3,"m08yj"
43,69,4,3,"o7mt1"
70,60,NA,2,"f32k4"
27,38,NA,3,"yt80y"
23,40,1.94000005722046,6,"ve49r"
43,65,2,8,"anh7f"
70,60,3,2,"f32k4"
50,85,NA,3,"t2hc0"
30,50,2.91000008583069,10,"x41ja"
51,48,1,3,"ox66i"
50,86,10,6,"b3pzu"
22,62,NA,9,"pmofb"
30,61,NA,5,"vrz4n"
15,50,NA,4,"r8nn6"
18,48,NA,4,"pjn7i"
30,80,4.94000005722046,5,"ps2ir"
36,72,1.94000005722046,6,"kaeup"
24,50,NA,12,"duv1t"
38,70,NA,8,"wa2ph"
12,55,NA,8,"mwwn8"
22,37,0.970000028610229,6,"r1jih"
18,60,NA,6,"oqxs0"
35,72,NA,3,"grc3l"
25,50,NA,5,"tx9ft"
12,46,NA,6,"i4e5d"
43,65,NA,8,"fn6n5"
40,60,NA,9,"t1ymr"
35,61,5,5,"tjycz"
24,61,1.97000002861023,4,"pacz6"
37,60,6,7,"e68bt"
26,63,2.94000005722046,8,"nehnr"
50,30,4,1,"ugvtc"
18,48,NA,7,"t1sfm"
24,45,2.91000008583069,11,"j7rjy"
35,70,NA,6,"vqqyd"
24,59,2.91000008583069,6,"cr3gb"
37,60,2,3,"trowy"
28,38,3.91000008583069,3,"unbqy"
26,60,NA,10,"avn7i"
67,67,5,1,"ygc8w"
35,65,6.88000011444092,6,"do8rg"
28,46,NA,6,"sbmqg"
40,56,NA,7,"kowj3"
26,61,NA,5,"rr4o0"
40,67,1,7,"qa7nu"
13,35,NA,3,"b8x0z"
41,64,4.96999979019165,5,"xtu77"
22,58,NA,7,"rnwry"
59,49,6,3,"n3012"
28,58,4.90999984741211,11,"ozozn"
42,68,NA,7,"v0e5z"
36,65,NA,10,"kwk6n"
23,50,NA,4,"rxbpl"
31,65,2.91000008583069,10,"kwk6n"
25,35,0.970000028610229,5,"b7ygz"
43,80,NA,8,"dgbjr"
45,70,3,4,"j7uxe"
30,63,NA,8,"nehnr"
42,80,NA,4,"q3vc2"
12,40,NA,9,"b7oyg"
30,50,NA,10,"w3aqe"
27,25,1.97000002861023,1,"rbe87"
18,43,NA,10,"ts6pg"
49,56,NA,4,"ny63d"
37,63,NA,12,"ryo04"
50,60,NA,5,"jo5tb"
41,60,8.97000026702881,1,"xno64"
26,54,0.970000028610229,6,"eui6x"
14,36,NA,4,"xec6u"
20,50,NA,9,"k8fm2"
43,67,5,3,"way8p"
27,70,3.91000008583069,6,"j0u0h"
28,58,4.94000005722046,6,"ibhju"
22,35,1.94000005722046,3,"gjtcg"
26,60,1.94000005722046,9,"t1ymr"
50,60,NA,5,"nz1qx"
20,56,1.94000005722046,5,"tkcj1"
48,25,NA,3,"yfucm"
40,66,NA,11,"a0n7r"
40,60,2,4,"l17yh"
58,60,NA,5,"uww01"
50,79,NA,7,"m57fi"
34,70,NA,5,"q2hw8"
29,65,3.94000005722046,5,"n5dm8"
46,75,6,4,"ali08"
28,50,3.97000002861023,9,"dqhss"
36,56,5.94000005722046,11,"bdm73"
39,66,4,4,"m70cm"
35,55,NA,8,"wd0fu"
37,60,5,9,"wfeiv"
27,55,1.94000005722046,8,"mwwn8"
42,77,1.94000005722046,5,"mql50"
28,75,NA,8,"dtpws"
30,57,NA,6,"yccc2"
55,75,6,4,"an5ey"
42,48,7,5,"gcc7s"
21,48,0.970000028610229,4,"ooyen"
30,65,NA,4,"g61mf"
23,60,2.94000005722046,11,"paxqy"
37,65,2.97000002861023,4,"u8gkj"
15,40,NA,8,"ku8qo"
24,58,3.91000008583069,11,"ozozn"
40,58,7,1,"jj114"
32,70,4.94000005722046,6,"j0u0h"
36,81,5.94000005722046,2,"pzej5"
30,60,3.94000005722046,7,"suu12"
19,50,NA,9,"heaar"
36,62,4.94000005722046,3,"iwtii"
20,50,NA,9,"dqhss"
31,60,NA,6,"p4m6o"
19,58,0.970000028610229,1,"a49yp"
22,48,NA,12,"vhzcq"
18,50,NA,10,"j03tu"
35,60,NA,4,"kxx4g"
52,52,NA,3,"oj7tf"
15,46,NA,4,"htia3"
40,57,NA,9,"ehuy9"
38,40,NA,4,"k3sb4"
23,51,2.91000008583069,5,"m40sx"
22,48,NA,7,"kkbfv"
68,60,NA,8,"r58b3"
34,55,5.94000005722046,3,"p36ke"
40,55,NA,4,"w1dxq"
32,80,3.97000002861023,8,"dgbjr"
20,49,NA,7,"wtf5q"
37,65,1,6,"uhusz"
33,60,3,6,"p4m6o"
45,75,NA,8,"dtpws"
17,49,NA,7,"dowxd"
13,45,NA,7,"v8opa"
26,70,NA,9,"cma7u"
41,80,NA,8,"dgbjr"
37,68,NA,10,"e5p8j"
22,44,1.94000005722046,5,"geuyv"
18,36,0.970000028610229,6,"sqhuf"
20,60,0.970000028610229,8,"zotxz"
32,70,NA,9,"oqrfh"
49,20,7,1,"xlzn7"
31,70,NA,3,"kwevm"
14,45,NA,11,"j7rjy"
13,47,NA,9,"tfh3n"
34,62,NA,4,"ifyb9"
19,43,0.970000028610229,10,"ts6pg"
37,67,7.94000005722046,7,"wtdom"
28,50,3,8,"fsj61"
30,65,NA,4,"ifbz2"
22,66,NA,5,"d0fdo"
13,60,NA,9,"pjgsp"
25,45,2.97000002861023,6,"zaqwn"
25,48,3.97000002861023,7,"kkbfv"
20,56,NA,11,"bdm73"
24,48,NA,7,"t1sfm"
27,60,2.94000005722046,7,"x1kxa"
60,68,NA,2,"q15v7"
32,70,5,4,"jpgsz"
27,50,NA,3,"ejv12"
32,65,6.96999979019165,7,"u5w5f"
42,63,NA,12,"ryo04"
44,65,NA,5,"mexw8"
15,50,NA,10,"x41ja"
23,50,NA,8,"fbbhk"
38,59,2,8,"kacff"
41,58,2.94000005722046,5,"w3hcx"
30,60,NA,9,"gayo6"
21,48,NA,5,"zlf1e"
38,61,5.96999979019165,4,"pacz6"
40,65,5.96999979019165,4,"q8v50"
46,71,NA,9,"zetyc"
47,70,11.9399995803833,9,"cma7u"
25,49,1.94000005722046,4,"j67gw"
21,58,NA,6,"ibhju"
17,55,NA,7,"gsu3t"
31,60,NA,4,"l17yh"
39,65,NA,6,"el16l"
28,50,3,10,"w3aqe"
30,75,NA,8,"dtpws"
38,67,5,5,"r8qss"
13,40,NA,5,"hondf"
40,58,NA,5,"w3hcx"
28,50,4.90999984741211,11,"vry4e"
31,52,NA,7,"idqqb"
17,60,NA,11,"paxqy"
32,60,NA,6,"j3sa1"
25,43,2.94000005722046,3,"i5je0"
60,60,NA,5,"jo5tb"
65,75,6,8,"x03ap"
34,59,NA,9,"kacff"
20,50,NA,12,"pwhmy"
50,75,NA,8,"x03ap"
32,66,5,5,"d0fdo"
50,25,3,2,"cysju"
33,68,5.94000005722046,7,"v0e5z"
12,65,NA,6,"h1t8z"
16,50,NA,7,"x4s9x"
17,60,NA,10,"avn7i"
53,50,NA,9,"v06qq"
32,49,1,7,"dowxd"
25,58,2.94000005722046,7,"rnwry"
37,68,6.94000005722046,6,"fibyw"
44,60,6,9,"x4kex"
31,65,2.94000005722046,10,"kwk6n"
40,57,NA,4,"f4uci"
22,56,1.94000005722046,8,"yw5xv"
36,65,3.97000002861023,3,"bq1jy"
12,42,NA,6,"cgs9a"
42,48,7.96999979019165,6,"unvd7"
70,40,NA,3,"zee2r"
28,55,3.97000002861023,3,"u8ho6"
19,40,0.970000028610229,5,"g986j"
35,44,4.96999979019165,4,"f83gf"
39,56,5,1,"wr2jj"
13,63,NA,9,"r5c5y"
35,64,3.97000002861023,3,"bjrck"
50,75,NA,8,"x03ap"
29,49,2.94000005722046,7,"dowxd"
36,61,4.96999979019165,8,"iqfel"
43,75,8.97000026702881,9,"d8qwy"
56,75,NA,8,"x03ap"
44,92,NA,10,"f4es3"
30,62,5.94000005722046,6,"plrjn"
42,75,5.96999979019165,2,"upd0c"
30,55,1.94000005722046,11,"qgkoa"
50,70,NA,9,"used7"
27,65,NA,6,"r29av"
27,66,NA,6,"lc5n8"
40,67,NA,5,"gw1ci"
29,52,NA,7,"idqqb"
32,65,NA,7,"yi0xi"
36,60,6.94000005722046,3,"oaca9"
20,60,NA,9,"i3oyv"
37,55,8.9399995803833,8,"ewoiz"
32,56,NA,8,"k79i3"
25,55,3.91000008583069,11,"qgkoa"
25,65,0.970000028610229,4,"g61mf"
32,60,NA,7,"suu12"
16,50,NA,7,"h93jq"
28,66,1,4,"m70cm"
40,88,NA,10,"fp9vo"
33,75,NA,5,"ie773"
12,52,NA,5,"nfm2m"
