"age","agem","rs","rsm","mid"
36,60,4.96999979019165,8,"zotxz"
26,60,NA,9,"i3oyv"
23,48,NA,11,"ntavw"
34,70,NA,7,"ftbpj"
32,60,NA,4,"wtptz"
47,98,8,9,"xwhnw"
28,53,2.97000002861023,3,"h7z9c"
13,60,NA,11,"paxqy"
26,67,NA,9,"wekcj"
21,50,1.94000005722046,8,"kg73z"
70,70,NA,2,"eqkq7"
28,57,3.94000005722046,9,"ehuy9"
29,35,3.97000002861023,5,"b7ygz"
38,70,NA,4,"qv81k"
31,62,1.94000005722046,12,"sxfsh"
20,84,NA,5,"n1k30"
37,75,4.94000005722046,4,"aj20h"
20,37,0.970000028610229,6,"r1jih"
22,44,1.94000005722046,5,"t46jx"
33,60,1.94000005722046,7,"xvkng"
18,38,0.970000028610229,3,"b1egy"
13,52,1.94000005722046,7,"idqqb"
23,50,NA,5,"tx9ft"
26,48,2.91000008583069,6,"wsqws"
32,60,NA,6,"j3sa1"
23,68,NA,6,"gyq2m"
50,103,8,4,"adyci"
13,45,NA,8,"aws1q"
53,40,NA,8,"qsmhs"
13,48,NA,12,"vhzcq"
58,85,11,8,"hm0rx"
30,57,4.94000005722046,9,"xifvm"
54,92,NA,10,"f4es3"
24,42,1.94000005722046,7,"w4iyd"
35,65,4.96999979019165,7,"yi0xi"
42,70,4,3,"uw2vp"
10,45,NA,3,"vh6b7"
46,70,NA,4,"tz29i"
37,53,NA,6,"rasw8"
35,60,NA,3,"h9xex"
63,55,NA,6,"dhc1a"
52,86,3,5,"b3pzu"
33,70,0,3,"g2xew"
28,60,0.970000028610229,6,"itajc"
35,80,5.94000005722046,5,"ps2ir"
22,48,1.97000002861023,11,"tuw9c"
33,60,2.91000008583069,9,"t1ymr"
50,75,NA,8,"dtpws"
35,62,NA,9,"wxzo3"
60,70,NA,7,"sg3tg"
18,40,NA,9,"b7oyg"
67,75,NA,4,"dgmu7"
33,50,5.94000005722046,2,"r6t5b"
40,78,5,6,"ko9fb"
70,69,NA,3,"m8dws"
35,60,2,3,"trowy"
23,48,NA,5,"zlf1e"
42,67,3,7,"o1rqg"
34,50,3.94000005722046,6,"nbwcz"
35,30,4.94000005722046,2,"ex7tp"
13,50,NA,7,"x4s9x"
11,38,NA,6,"pbuys"
22,42,2.94000005722046,6,"oisal"
50,55,NA,6,"dhc1a"
29,60,NA,9,"pjgsp"
18,50,NA,7,"x4s9x"
35,55,3.91000008583069,4,"yjebm"
35,65,3.97000002861023,3,"tpbf0"
26,55,4.90999984741211,8,"wd0fu"
18,46,NA,5,"d2gr7"
20,57,NA,6,"wqhan"
50,67,11,7,"o1rqg"
54,40,NA,6,"bp626"
24,50,1,7,"x4s9x"
41,65,11,7,"jljkc"
28,70,2.94000005722046,6,"w0n5m"
30,58,5.96999979019165,5,"odd2j"
29,50,4.94000005722046,5,"q13y8"
21,44,NA,7,"eyenk"
20,68,NA,10,"e5p8j"
45,80,NA,4,"lfsgb"
14,50,NA,9,"ugvmv"
36,59,6.94000005722046,8,"kacff"
34,53,NA,6,"rasw8"
50,57,NA,4,"e656c"
57,70,NA,7,"ea136"
17,68,NA,10,"e5p8j"
25,70,1.97000002861023,9,"used7"
30,60,2,4,"u52lu"
36,50,NA,7,"l073x"
11,43,NA,7,"l98mo"
32,60,4.94000005722046,9,"gayo6"
57,70,NA,6,"lz6ds"
34,65,7.90999984741211,9,"de3wm"
22,63,NA,6,"ik333"
46,68,7,6,"ow381"
41,63,10.9399995803833,12,"ryo04"
25,60,1.94000005722046,6,"qosww"
34,60,8.90999984741211,3,"yciy6"
48,68,2,4,"x60rm"
38,70,3,4,"tz29i"
29,55,NA,3,"enc1k"
27,60,2.94000005722046,6,"qosww"
40,70,NA,4,"upwcd"
63,60,4,2,"mi76i"
27,50,NA,5,"vhylr"
24,52,2.94000005722046,5,"uycod"
38,60,NA,8,"x8ga0"
20,38,0.970000028610229,3,"l5sz0"
65,30,1,4,"jw316"
35,75,4.96999979019165,5,"g7hgj"
24,60,2.94000005722046,9,"i3oyv"
40,70,NA,9,"oqrfh"
58,85,NA,8,"oyq56"
38,26,NA,3,"n0el4"
21,38,NA,3,"b1egy"
20,42,NA,7,"w4iyd"
30,49,3.94000005722046,9,"a5sbo"
35,75,3,8,"yeyg9"
13,43,NA,7,"vblxz"
30,63,8.9399995803833,7,"hvkcz"
34,59,4.96999979019165,6,"mte8w"
13,42,NA,7,"ren9z"
12,55,NA,9,"o80eg"
38,69,4.94000005722046,3,"o7mt1"
27,60,4.94000005722046,9,"wfeiv"
29,57,NA,4,"f4uci"
27,67,NA,7,"qa7nu"
38,70,2,5,"q2hw8"
20,48,NA,5,"yn1z3"
38,70,NA,9,"oqrfh"
23,40,1.94000005722046,4,"fpp5m"
32,56,6.90999984741211,12,"ksnm9"
19,55,NA,7,"gsu3t"
30,60,NA,6,"oqxs0"
31,52,4.94000005722046,10,"fzvm5"
32,33,5.90999984741211,3,"i5vmd"
23,50,2.94000005722046,5,"soj4c"
42,61,NA,4,"pmmr5"
21,60,1.94000005722046,4,"kq82p"
25,42,2.94000005722046,3,"gdato"
15,46,NA,7,"vk402"
37,65,3,7,"zaze9"
20,60,NA,10,"avn7i"
28,46,2,6,"o3y9c"
23,55,0.970000028610229,2,"aal31"
17,45,NA,4,"wqp2q"
19,42,0,3,"c0hav"
24,55,4.90999984741211,8,"ngtae"
34,60,5.96999979019165,7,"sju2c"
46,70,NA,8,"wa2ph"
38,54,0,4,"r3blx"
38,63,NA,8,"nehnr"
36,60,4.96999979019165,6,"ygz1a"
62,92,NA,10,"f4es3"
30,48,5.94000005722046,9,"cdme4"
16,49,NA,7,"wtf5q"
13,48,NA,11,"ntavw"
49,75,NA,8,"yeyg9"
56,85,NA,8,"hm0rx"
15,42,NA,8,"d4de2"
45,66,NA,11,"a0n7r"
55,30,5,1,"gjkg7"
27,62,3.97000002861023,9,"pmofb"
24,64,1.97000002861023,4,"qc23b"
24,48,NA,10,"ntavw"
35,62,5,7,"bj1mb"
17,48,NA,11,"tuw9c"
20,35,0.970000028610229,3,"b8x0z"
21,50,1.94000005722046,5,"tx9ft"
38,60,1,5,"b8iim"
30,70,NA,6,"j0u0h"
30,54,3.97000002861023,3,"mgmff"
47,75,5,9,"d8qwy"
43,65,6,7,"zaze9"
30,80,2.97000002861023,5,"ps2ir"
39,62,9.9399995803833,6,"rxl77"
35,70,4.94000005722046,3,"d0utd"
30,50,3.97000002861023,2,"ei4yy"
24,45,1.97000002861023,4,"sd82c"
10,37,NA,5,"ksfpk"
22,40,0.970000028610229,5,"atnv9"
24,46,NA,10,"hw3g2"
27,43,NA,7,"lfaq9"
18,24,NA,2,"qqnzz"
30,55,NA,4,"yjebm"
35,61,2,4,"swnwm"
23,48,1.97000002861023,4,"pjn7i"
28,40,2.94000005722046,5,"n33z0"
26,49,3.94000005722046,7,"wtf5q"
31,59,NA,6,"mte8w"
28,54,NA,5,"v6ibx"
16,65,NA,3,"tpbf0"
18,50,NA,8,"fsj61"
51,52,NA,4,"yx4e5"
35,55,NA,4,"w1dxq"
19,50,NA,11,"vry4e"
40,70,NA,3,"d5oo5"
23,48,1.97000002861023,4,"hn0he"
35,65,NA,4,"g61mf"
47,65,8,5,"mexw8"
22,66,NA,5,"p7pq3"
