"age","male","livestock","agef","livestockf","fid"
53,0,NA,83,20,250
37,1,15,79,30,114
35,0,10,75,100,151
34,0,4,90,12,155
48,1,30,68,125,292
14,1,NA,79,20,444
37,0,4,83,20,250
57,0,6,83,20,250
33,1,18,NA,NA,NA
30,0,5,NA,NA,NA
32,0,NA,93,70,298
87,1,60,NA,NA,NA
50,1,30,84,150,144
31,1,7,85,55,331
36,1,9,NA,NA,NA
34,0,25,NA,NA,NA
54,0,4,NA,NA,NA
39,1,30,85,110,432
35,0,14,90,110,762
42,0,NA,73,35,770
49,0,6,78,45,473
31,0,14,90,110,762
47,1,25,85,110,432
42,1,4,71,35,267
37,0,4,74,30,378
36,0,6,90,110,762
44,0,10,73,10,921
31,1,2,90,12,155
61,1,15,84,150,144
35,0,8,72,25,154
54,0,10,76,45,222
53,0,14,83,20,250
48,1,1,79,20,444
32,0,NA,93,70,298
41,0,6,68,125,292
36,0,NA,93,70,298
54,0,9,NA,NA,NA
46,1,6,87,60,112
46,0,12,76,45,222
30,1,NA,93,70,298
41,1,14,66,40,198
51,0,10,87,60,112
55,1,16,84,150,144
38,1,6,80,60,424
58,1,35,NA,NA,NA
48,1,65,75,100,151
75,0,0,NA,NA,NA
36,0,6,78,45,473
83,1,45,NA,NA,NA
63,0,NA,93,70,298
58,1,12,NA,NA,NA
35,1,4,87,60,112
34,1,9,90,110,762
42,1,5,73,35,770
47,1,14,84,150,144
37,0,6,73,10,921
36,0,6,87,60,112
42,1,7,84,150,144
42,1,5,NA,NA,NA
35,1,13,NA,NA,NA
30,0,5,NA,NA,NA
42,1,9,76,45,222
30,0,NA,79,20,444
32,1,11,80,60,424
34,0,2,87,60,112
31,1,6,84,70,134
36,1,5,NA,NA,NA
37,0,24,90,110,762
31,1,16,73,95,212
33,0,4,73,35,770
45,0,10,72,25,154
38,0,NA,68,125,292
60,1,55,NA,NA,NA
11,1,NA,84,70,134
33,0,4,74,30,378
26,0,NA,87,60,112
66,0,4,NA,NA,NA
51,1,40,85,110,432
37,0,4,77,35,332
54,1,6,87,60,112
44,1,7,77,35,332
38,1,6,73,35,770
43,1,9,80,60,424
73,0,3,NA,NA,NA
54,1,12,83,20,250
40,1,25,85,110,432
36,0,17,NA,NA,NA
66,1,40,NA,NA,NA
90,1,12,NA,NA,NA
36,0,NA,84,150,144
48,1,5,73,35,770
69,0,9,NA,NA,NA
72,1,25,NA,NA,NA
51,1,35,93,70,298
18,0,NA,90,12,155
56,1,17,90,110,762
76,0,8,NA,NA,NA
32,0,6,66,40,198
42,0,6,75,100,151
41,1,4,85,55,331
34,0,4,85,55,331
42,1,4,NA,NA,NA
79,0,14,NA,NA,NA
36,1,17,NA,NA,NA
57,0,6,93,70,298
44,0,6,NA,NA,NA
45,0,8,74,30,378
36,1,5,90,12,155
90,1,110,NA,NA,NA
44,0,NA,74,30,378
41,1,10,90,110,762
56,1,9,84,150,144
36,0,10,73,35,770
41,1,2,79,20,444
49,1,4,79,30,114
50,0,6,85,55,331
46,0,18,92,75,882
33,1,12,NA,NA,NA
34,0,14,84,150,144
39,0,6,66,40,198
43,0,4,79,20,444
36,0,14,92,75,882
44,1,4,74,30,378
55,1,11,NA,NA,NA
18,0,NA,75,100,151
51,1,11,90,110,762
36,0,8,74,30,378
62,1,31,90,110,762
50,0,24,79,30,114
21,1,NA,73,35,770
65,1,10,NA,NA,NA
44,1,16,71,35,267
39,0,NA,87,60,112
