"sex","weightm","weightf","weight","age","agef","agem","fid","mid"
"F",NA,NA,52.9000015258789,34.5499992370605,NA,NA,NA,NA
"F",NA,NA,39.9000015258789,35.7999992370605,NA,NA,NA,NA
"F",NA,NA,56.2999992370605,37.7999992370605,NA,NA,NA,NA
"M",NA,NA,57.2000007629395,56.8300018310547,NA,NA,"grnqk","s6syk"
"F",NA,NA,59.2000007629395,33.1500015258789,NA,NA,NA,NA
"F",74.8000030517578,NA,55,19.6399993896484,NA,34.7999992370605,"wn503","mw0xa"
"M",58.7000007629395,74,60.9000015258789,18.4200000762939,41.3300018310547,21.5300006866455,"e6cw2","lhp4o"
"F",50.5,NA,55.5,24.6200008392334,NA,53.7000007629395,NA,"bwwlz"
"M",NA,NA,60.2000007629395,33.6699981689453,NA,NA,NA,NA
"F",NA,NA,59.5,28.1100006103516,NA,NA,NA,NA
"F",NA,NA,52.9000015258789,20.5799999237061,NA,NA,NA,NA
"M",58,65,66.6999969482422,24.5799999237061,53.5800018310547,37.5499992370605,"of7eg","inewv"
"M",NA,NA,68.5999984741211,31.5799999237061,NA,NA,"imasj","a23oj"
"F",NA,NA,68.4000015258789,46,NA,NA,NA,NA
"F",NA,NA,45.2000007629395,28.2700004577637,NA,NA,NA,NA
"F",NA,NA,50.9000015258789,29.1000003814697,NA,NA,"r8e1e","sx05d"
"M",NA,NA,73.4000015258789,35.5499992370605,NA,NA,"f1782","ylg8z"
"M",NA,NA,64,24.5799999237061,NA,NA,NA,NA
"F",NA,NA,53,38.1100006103516,NA,NA,NA,NA
"M",48.7000007629395,NA,56.7000007629395,24.5799999237061,NA,41.7200012207031,"cy5wn","ibdbf"
"F",NA,NA,62.5,21.7199993133545,NA,NA,"lb091","qcu02"
"M",NA,NA,59.0999984741211,63.75,NA,NA,"kd8ba","t4n2o"
"F",NA,NA,44.9000015258789,18.6900005340576,NA,NA,NA,NA
"F",NA,NA,46.2000007629395,36.7000007629395,NA,NA,NA,NA
"M",64.4000015258789,NA,66,35.4199981689453,NA,64.5,"iuebr","pjt0w"
"F",NA,NA,51.2999992370605,51.7200012207031,NA,NA,"e3xf6","fdlk3"
"F",NA,NA,64.3000030517578,19.6900005340576,NA,NA,NA,NA
"F",55,NA,61.0999984741211,37.6199989318848,NA,48.7999992370605,NA,"czlvb"
"F",NA,NA,51.4000015258789,26.1499996185303,NA,NA,NA,NA
"M",NA,NA,74,41.3300018310547,NA,NA,"kd8ba","t4n2o"
"F",49.7999992370605,NA,51.7999992370605,19.7199993133545,NA,46.3199996948242,NA,"is34d"
"M",NA,NA,63.7000007629395,28.4200000762939,NA,NA,"rk2so","jqrnh"
"F",64.4000015258789,NA,58.2000007629395,39.7000007629395,NA,64.5,"iuebr","pjt0w"
"F",NA,NA,57.4000015258789,37.7200012207031,NA,NA,"qvrlg","whcg4"
"F",NA,NA,97.1999969482422,42.5800018310547,NA,NA,"f1782","ylg8z"
"F",NA,NA,37.0999984741211,22.6700000762939,NA,NA,"kn6zo","o9bbq"
"F",45.2000007629395,NA,45,18.4400005340576,NA,45.439998626709,"ioo1b","j4ojf"
"F",NA,NA,47.4000015258789,24.7000007629395,NA,NA,"dyqgs","naidz"
"M",NA,NA,68.1999969482422,36.5800018310547,NA,NA,"lk4xl","cu1xt"
"F",NA,NA,58.2000007629395,21.7199993133545,NA,NA,NA,NA
"F",NA,NA,48.7000007629395,18.6200008392334,NA,NA,NA,NA
"F",NA,NA,41.7999992370605,39.7000007629395,NA,NA,NA,NA
"M",50,NA,65.1999969482422,30.1700000762939,NA,55.8899993896484,"todut","g2u5e"
"F",NA,NA,54,32.7999992370605,NA,NA,"f6pzh","h5vso"
"M",NA,NA,57.9000015258789,59.5800018310547,NA,NA,NA,NA
"M",54.9000015258789,NA,60.9000015258789,22.5799999237061,NA,33.7900009155273,NA,"mfpsv"
"M",NA,NA,56.7999992370605,50.5800018310547,NA,NA,NA,"vmrer"
"M",58.0999984741211,NA,71,29.5799999237061,NA,37.7200012207031,"mzf1s","ognro"
"F",40.4000015258789,NA,52.7999992370605,47.0699996948242,NA,77.3300018310547,"n2qs0","wv8jc"
"F",50.5,48.5999984741211,59.7999992370605,18.8299999237061,51.0800018310547,34.6300010681152,"q1qj4","vep6y"
"F",NA,NA,50,55.8899993896484,NA,NA,NA,NA
"F",NA,NA,54.7000007629395,23.1100006103516,NA,NA,NA,NA
"M",52.7999992370605,60.4000015258789,53.4000015258789,25.5799999237061,49.5499992370605,48.7200012207031,"htk5c","dbyfw"
"F",NA,NA,56.4000015258789,40.7000007629395,NA,NA,NA,NA
"M",64.4000015258789,NA,80,32.9199981689453,NA,64.5,"iuebr","pjt0w"
"F",NA,NA,50.5999984741211,23.7999992370605,NA,NA,NA,NA
