"sex","weightm","weightf","weight","age","agef","agem","fid","mid"
"F",42.9000015258789,NA,50.2000007629395,19.6900005340576,NA,38.7099990844727,NA,"gwjc7"
"M",50.5,48.5999984741211,60.2000007629395,26.0799999237061,51.0800018310547,34.6300010681152,"q1qj4","vep6y"
"F",50.7000007629395,NA,54.9000015258789,21.0799999237061,NA,38.9099998474121,"b7r8k","ffice"
"F",NA,NA,64.4000015258789,64.5,NA,NA,NA,NA
"F",NA,NA,38.0999984741211,18.5499992370605,NA,NA,"yuymj","lcmgf"
"M",NA,NA,61.7999992370605,26.5799999237061,NA,NA,"rvp1u",NA
"M",NA,NA,70.1999969482422,21,NA,NA,"tgaid","rw5fl"
"F",66.0999984741211,NA,48.2000007629395,30.7000007629395,NA,44.5800018310547,NA,"wzvcr"
"F",66.0999984741211,NA,47.7999992370605,18.5799999237061,NA,44.5800018310547,NA,"wzvcr"
"F",NA,NA,49.7000007629395,52.5900001525879,NA,NA,NA,NA
"F",50.4000015258789,NA,51,28.1000003814697,NA,59.8499984741211,"s27yd","ndl06"
"F",NA,NA,46.4000015258789,19.1100006103516,NA,NA,NA,NA
"M",NA,NA,57,47.5800018310547,NA,NA,"kyvdo","hnxzy"
"M",NA,NA,54.7999992370605,33.6699981689453,NA,NA,"np376","i59v6"
"F",NA,NA,64.8000030517578,21.6900005340576,NA,NA,NA,NA
"F",45.5999984741211,NA,55.2000007629395,25.7600002288818,NA,34.1500015258789,NA,"n5uel"
"F",NA,NA,56.2000007629395,31.8799991607666,NA,NA,NA,NA
"F",NA,NA,50.7000007629395,38.9099998474121,NA,NA,"kyvdo","hnxzy"
"F",NA,NA,57.5999984741211,33.7000007629395,NA,NA,NA,NA
"F",NA,NA,48.7000007629395,70.5800018310547,NA,NA,NA,NA
"F",NA,NA,56.9000015258789,27.1599998474121,NA,NA,NA,NA
"M",NA,NA,62.5999984741211,39.5800018310547,NA,NA,NA,"s6syk"
"F",64.8000030517578,NA,55.2000007629395,23.1399993896484,NA,47.2900009155273,"y9s0u","iqr67"
"F",NA,NA,57.4000015258789,23.4500007629395,NA,NA,"f1782","ylg8z"
"F",NA,NA,59.0999984741211,29.7999992370605,NA,NA,NA,NA
"M",56.9000015258789,NA,58.9000015258789,19.5799999237061,NA,30.5499992370605,"f3s4u","layx6"
"F",55,NA,52.7999992370605,19.6800003051758,NA,48.7999992370605,"y2e4x","czlvb"
"M",NA,NA,53.2000007629395,37.5800018310547,NA,NA,NA,NA
"F",NA,NA,47.0999984741211,56.7000007629395,NA,NA,NA,NA
"M",NA,NA,52.4000015258789,46.5800018310547,NA,NA,NA,NA
"F",NA,NA,48.2000007629395,52.5499992370605,NA,NA,NA,NA
"F",50,NA,50.7999992370605,21.8299999237061,NA,55.8899993896484,"todut","g2u5e"
"M",50.4000015258789,NA,63.4000015258789,28.4200000762939,NA,59.8499984741211,"s27yd","ndl06"
"F",NA,NA,56.7999992370605,25.7099990844727,NA,NA,NA,NA
"F",NA,NA,48.0999984741211,56.6800003051758,NA,NA,NA,NA
"F",58,65,57.5,18.7999992370605,53.5800018310547,37.5499992370605,"of7eg","inewv"
"F",NA,NA,54.5999984741211,27.6200008392334,NA,NA,NA,"xursq"
"F",NA,NA,52.2999992370605,26.1000003814697,NA,NA,NA,NA
"F",NA,NA,58,37.5499992370605,NA,NA,NA,NA
"F",56.2000007629395,NA,51.2999992370605,23.0799999237061,NA,39.7599983215332,NA,"m03a1"
"F",NA,NA,72.6999969482422,39.6399993896484,NA,NA,NA,NA
"F",51.2000007629395,NA,77.9000015258789,30.7099990844727,NA,53.5800018310547,"nyaq2","guysq"
"M",NA,58.4000015258789,66.0999984741211,26.5799999237061,64.5800018310547,NA,"qyzhj",NA
"F",58.4000015258789,51.5999984741211,56.5,26.5799999237061,63.5,39.9099998474121,"vigf4","x5nxw"
"F",46.0999984741211,58.7000007629395,59.7999992370605,31.6700000762939,69.5800018310547,69.5800018310547,"gv5aj","jfkyx"
"F",51.7999992370605,NA,48.7000007629395,19.6900005340576,NA,51.7000007629395,NA,"yroj2"
"F",97.1999969482422,73.4000015258789,74.3000030517578,23.9200000762939,50.5800018310547,42.5800018310547,"eghxv","iog9l"
"F",NA,NA,61.9000015258789,65.9199981689453,NA,NA,"grnqk","s6syk"
"M",NA,NA,70.5,38.5800018310547,NA,NA,NA,NA
"F",58.4000015258789,51.5999984741211,61.7999992370605,26.6200008392334,63.5,39.9099998474121,"vigf4","x5nxw"
"F",NA,NA,49.2999992370605,34.6800003051758,NA,NA,"y10zg","sx1sg"
"F",NA,NA,54.7000007629395,31.1499996185303,NA,NA,"f6pzh","h5vso"
"M",59.5,NA,74.3000030517578,32.3300018310547,NA,63.6699981689453,"winc3","qcoct"
"F",NA,NA,48.5,30.7000007629395,NA,NA,NA,NA
"F",NA,49.5999984741211,46.5999984741211,18.5,49,NA,"ef4y1","spfdc"
"F",NA,NA,59.5,63.6699981689453,NA,NA,NA,NA
"F",48.2000007629395,NA,54.9000015258789,33.7900009155273,NA,66.4400024414062,"qj6ay","uqdb0"
"M",NA,NA,53.4000015258789,48.6399993896484,NA,NA,NA,"u310l"
"M",NA,NA,59.4000015258789,64.5800018310547,NA,NA,NA,NA
"M",40.2999992370605,NA,50.9000015258789,34.5800018310547,NA,56.7000007629395,"wwnv4","hajlt"
"M",64.4000015258789,NA,64.5999984741211,44.5800018310547,NA,64.5,"iuebr","pjt0w"
"F",NA,NA,50.5999984741211,44.1500015258789,NA,NA,NA,NA
"M",57.5999984741211,59.0999984741211,71.1999969482422,26.5,63.75,35.4700012207031,"r6wpq","k3i8o"
"M",50.5999984741211,59.9000015258789,60.7999992370605,27.4200000762939,54.9199981689453,44.1500015258789,"brocg","imfqd"
"F",NA,NA,48.2000007629395,78.7200012207031,NA,NA,NA,NA
"F",NA,58.4000015258789,54,19.7199993133545,64.5800018310547,NA,"qyzhj",NA
"M",55,NA,67.8000030517578,19.1700000762939,NA,44.7099990844727,"sshyb","bwrja"
"F",51.2999992370605,NA,59.9000015258789,19,NA,51.7200012207031,"kueho","hih7i"
"F",NA,NA,56.0999984741211,27.1700000762939,NA,NA,NA,NA
"F",46.7000007629395,NA,49.5,33.7000007629395,NA,57.0999984741211,"wqhqw","ygwhp"
"F",68.4000015258789,57.9000015258789,55.2999992370605,22.75,59.5800018310547,46,"dwl6w","rk2wq"
"M",NA,NA,55.9000015258789,31.1000003814697,NA,NA,"r8e1e","sx05d"
"M",NA,NA,61.4000015258789,25.0799999237061,NA,NA,"ejl00","obzvm"
"F",NA,NA,60.2000007629395,27.2099990844727,NA,NA,NA,NA
"F",NA,NA,42.0999984741211,43.7099990844727,NA,NA,"qxjv6","ckwdu"
"F",63.5,NA,59.2000007629395,22.7700004577637,NA,38.4199981689453,"sheow","lfqw7"
"F",NA,NA,44.4000015258789,43.0999984741211,NA,NA,NA,"gjo8v"
"F",51.2999992370605,NA,45.9000015258789,34.5,NA,51.7200012207031,"kueho","hih7i"
"F",NA,NA,51.9000015258789,29.7099990844727,NA,NA,NA,"xursq"
"F",55,NA,57.5,28.5799999237061,NA,48.7999992370605,"y2e4x","czlvb"
