"fid","mid","kcal","kcalm","kcalf","sex","age","agem","agef"
"aenht","zhzqy",NA,2481.63989257812,7886.14990234375,1,NA,49,56
"bhciu","sdj7f",NA,NA,NA,2,NA,42.5,NA
NA,NA,558.018371582031,NA,NA,1,13,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
"otnre","cz010",NA,2808.53588867188,NA,1,NA,46,42
"yfk7y","p30ez",NA,NA,NA,2,NA,61,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,2,NA,21.5,23.5
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
"aan8t","kgeze",2129.28271484375,1636.31884765625,NA,2,24,65,NA
"bxhhq","ip3cb",NA,NA,NA,1,NA,36,40.5
"i0fra","p3mnx",NA,NA,2754.9638671875,1,NA,NA,61
NA,NA,NA,NA,NA,1,NA,NA,NA
NA,"xtbbc",NA,NA,NA,2,NA,21,NA
"kx4f4","mh29l",NA,4378.634765625,NA,1,NA,65,72
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"w29y8","d1hcd",NA,NA,NA,1,NA,60,51
"aan8t","kgeze",NA,1636.31884765625,NA,2,NA,65,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ynuzi","tgbx9",0,4231.89990234375,409.446563720703,1,3.75,28.5599994659424,28.5
"fquo7",NA,NA,NA,NA,1,NA,NA,51
"epu2p","is7f0",NA,NA,NA,2,NA,16,17.5
"kpi19","v91xv",NA,NA,NA,1,NA,35,86
"egrjp","z857z",NA,78.2818145751953,NA,1,NA,50,48.5
NA,NA,NA,NA,NA,NA,NA,NA,NA
"bus6f","a0kwx",NA,NA,NA,2,NA,12,22
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1,NA,NA,NA
"f03xz","kdf26",1344.92224121094,NA,NA,2,43,NA,88
"csxsp","p9d69",NA,NA,NA,1,NA,25,33
"nc3w9","pkuih",NA,NA,NA,1,NA,34,4
"ucjcs","pat8c",NA,1050.15539550781,4434.90478515625,1,NA,20,36
NA,"b1aai",NA,NA,NA,2,NA,NA,NA
"asn4w","tv4ae",NA,NA,NA,1,NA,NA,NA
NA,"oyc9i",NA,NA,NA,1,NA,NA,NA
"fgshf","rq15a",NA,NA,990.088684082031,2,NA,31,32
"sqmsd",NA,NA,NA,NA,1,NA,NA,NA
"xpo51","vvemo",NA,2296.67236328125,31.766918182373,1,NA,54,53
"un2am","lplfz",NA,2129.28271484375,4408.14501953125,1,NA,24,37
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,1,NA,21.5,23.5
NA,"fitbg",2068.77661132812,NA,NA,2,54,81,NA
"nvgt8","ry7vc",NA,NA,NA,2,NA,78,86
"xbbuu","a4pbf",NA,NA,NA,2,NA,44,51
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"iaf0x","zzetw",NA,3161.51879882812,2981.56762695312,2,NA,44,48
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"idzrg","oyc9i",NA,NA,NA,1,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"arc3c","qmn6a",NA,722.73095703125,4324.80712890625,2,NA,21.5,23.5
NA,NA,NA,NA,NA,2,NA,NA,NA
"ovp7g","f0ek4",NA,1653.83996582031,NA,1,NA,10.5,13
NA,NA,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"nnu2w","jei53",NA,NA,NA,2,NA,NA,22.3500003814697
"dvb3a","iax7l",NA,NA,NA,2,NA,47,56
"i5ae4","ukb39",NA,NA,NA,2,NA,26,NA
NA,NA,NA,NA,NA,2,NA,NA,NA
"rc10x","a4x4v",NA,NA,NA,2,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
"ykdb5","ebdon",NA,NA,NA,2,NA,59,NA
"b6qtj","vhe99",NA,833.278686523438,NA,1,NA,66,68
"l4048","rj01x",NA,NA,NA,2,NA,30.5,48
"ls30o","vi5b3",1175.35290527344,NA,2406.7333984375,2,16.5,31,38.2000007629395
"fgshf","rq15a",1653.83996582031,NA,990.088684082031,2,9.5,31,32
"rjqc1","xj2wk",NA,1611.26574707031,2261.6064453125,1,NA,59,56
NA,"xtbbc",NA,NA,NA,2,NA,21,NA
"fgshf","rq15a",NA,NA,990.088684082031,1,NA,31,32
"o284l","pzxei",NA,61.3888893127441,NA,2,NA,38,41
"b6qtj","vhe99",NA,833.278686523438,NA,1,NA,66,68
"s7tsx","vekv7",NA,NA,NA,1,NA,40,25
"jml6w","wxfl3",NA,NA,NA,1,NA,69,59
NA,NA,NA,NA,NA,NA,NA,NA,NA
"aan8t","kgeze",NA,1636.31884765625,NA,2,NA,65,NA
"mop1n","h5vfr",NA,NA,NA,2,NA,21,34
"ucjcs","p1x4b",NA,NA,4434.90478515625,1,NA,36,36
"aan8t","kgeze",2808.53588867188,1636.31884765625,NA,2,46,65,NA
