"id","age","sex","livestock","fid","agef","livestockf"
"o914v",32.5,"s",3,"s30c5",67.5,20.3999996185303
"m83wj",32.5,"d",NA,"p8yud",67.5,63.4000015258789
"w986a",52.5,"d",NA,"af24o",72.5,64.6999969482422
"wy2dk",37.5,"d",11,"xcfpm",57.5,77.1999969482422
"qq4ce",27.5,"s",14,"cdqba",62.5,13.8999996185303
"cl4sl",22.5,"d",NA,"blumw",47.5,50.2000007629395
"f5a3y",37.5,"d",NA,"c9p89",62.5,33.2999992370605
"dc5pv",27.5,"s",9,"pghyg",67.5,34.5
"a0dbf",42.5,"d",NA,"j28s1",67.5,102.099998474121
"l9g08",27.5,"s",100,"fxzsj",62.5,275.399993896484
"ncv07",17.5,"s",24,"af24o",72.5,64.6999969482422
"wgop7",22.5,"s",20,"kl7fp",52.5,234.800003051758
"uu5v6",52.5,"s",30,"af24o",72.5,64.6999969482422
"hphgd",32.5,"d",8,"kfuzs",77.5,25.6000003814697
"hkeco",17.5,"s",2,"p8yud",67.5,63.4000015258789
"g4ngs",22.5,"s",17,"avt2n",42.5,39.4000015258789
"g18b4",22.5,"d",NA,"p80ru",47.5,22
"yfhb5",32.5,"d",12,"msd80",57.5,44
"s1ink",47.5,"s",0.5,"e0m3i",82.5,8.39999961853027
"yp1be",22.5,"s",4,"ynabm",57.5,11.3999996185303
"xfzj2",27.5,"s",20,"zj9av",57.5,43.4000015258789
"i24zi",47.5,"s",7,"kfuzs",77.5,25.6000003814697
"rg01s",27.5,"s",9,"sby0i",47.5,25.2000007629395
"ds03o",42.5,"d",7,"mgw70",67.5,66.5
"e9a2j",17.5,"s",5,"ozxmj",42.5,15.6999998092651
"sh5uo",52.5,"s",26,"e0m3i",82.5,8.39999961853027
"vsit0",27.5,"d",NA,"addoa",52.5,66
"hg19i",27.5,"s",20,"pij2k",62.5,168.600006103516
"pvxzn",47.5,"s",14,"pghyg",67.5,34.5
"v9m4c",32.5,"s",18,"qf0uc",52.5,115
"y125f",22.5,"d",3,"begng",47.5,22.2000007629395
"oujoh",27.5,"d",NA,"kl7fp",52.5,234.800003051758
"iex6b",22.5,"d",NA,"u679a",42.5,11.1999998092651
"l1k1k",42.5,"s",140,"uo17w",77.5,249
"hjw2z",47.5,"s",17,"af24o",72.5,64.6999969482422
"l88jw",17.5,"s",7,"zp0ib",37.5,13.5
"aycko",17.5,"d",NA,"kl7fp",52.5,234.800003051758
"c782f",32.5,"s",12,"mgw70",67.5,66.5
"y0muh",17.5,"d",NA,"blumw",47.5,50.2000007629395
"a3g9h",27.5,"s",10,"u679a",42.5,11.1999998092651
"rkiyg",52.5,"d",12,"bdiak",72.5,96.5999984741211
"ctbh1",22.5,"d",NA,"zbqm5",37.5,37
"zvb23",32.5,"d",NA,"nbugy",67.5,100.400001525879
"w21ue",32.5,"s",10,"x46we",67.5,19
"ypaju",32.5,"s",8,"cj23o",42.5,16.3999996185303
"oxbd9",47.5,"s",1,"e0m3i",82.5,8.39999961853027
"nn8l6",17.5,"s",4,"p80ru",47.5,22
"f4ys4",17.5,"s",0.5,"pghyg",67.5,34.5
"p5b1b",37.5,"d",NA,"pghyg",67.5,34.5
"j6ijw",37.5,"d",70,"uo17w",77.5,249
"rfdy1",17.5,"d",7,"zbqm5",37.5,37
"grql4",32.5,"d",20,"fqkrz",62.5,51.9000015258789
"f1xar",27.5,"d",10,"p8yud",67.5,63.4000015258789
"uysp2",22.5,"s",4,"lnuzo",37.5,16.2000007629395
"wkokh",22.5,"s",2,"n205d",47.5,2.70000004768372
"by1ic",22.5,"s",3,"kfuzs",77.5,25.6000003814697
"qfmlw",32.5,"s",16,"su8qm",52.5,75.6999969482422
"omw7d",22.5,"s",7,"af24o",72.5,64.6999969482422
"sfn0m",37.5,"d",NA,"nbugy",67.5,100.400001525879
"d2tey",47.5,"s",16,"p8yud",67.5,63.4000015258789
"jv9qc",27.5,"d",18,"blumw",47.5,50.2000007629395
"cn96u",17.5,"d",NA,"p80ru",47.5,22
"npf9f",22.5,"d",NA,"kl7fp",52.5,234.800003051758
"ggm0i",22.5,"d",20,"ny2xx",47.5,88
"xh7y4",27.5,"d",4,"n205d",47.5,2.70000004768372
"fji6w",27.5,"s",16,"nixqv",57.5,276.399993896484
"ubkjx",27.5,"d",NA,"kl7fp",52.5,234.800003051758
"r6ad6",52.5,"s",14,"bdiak",72.5,96.5999984741211
"q1pd0",27,"s",25,"nd0f8",72.5,61.7999992370605
"ztya3",27.5,"s",13,"pc0nh",47.5,105.199996948242
"ltbt4",17.5,"s",30,"pij2k",62.5,168.600006103516
"iwcpd",32.5,"d",NA,"addoa",52.5,66
"nwspv",42.5,"s",6,"s30c5",67.5,20.3999996185303
"g744p",47.5,"d",NA,"cp4n0",72.5,116.800003051758
"wvszg",42.5,"d",5,"af24o",72.5,64.6999969482422
"fs9eq",27.5,"d",NA,"addoa",52.5,66
"ux9fa",42.5,"d",NA,"nbugy",67.5,100.400001525879
"tn59v",32.5,"s",19,"dv4cy",72.5,499.200012207031
"pqgyk",32.5,"d",1,"cdqba",62.5,13.8999996185303
"uyizk",22.5,"d",NA,"begng",47.5,22.2000007629395
"x9u80",22.5,"s",12,"dv4cy",72.5,499.200012207031
"x4c3m",57.5,"d",NA,"cp4n0",72.5,116.800003051758
"c80rw",32.5,"d",25,"xcfpm",57.5,77.1999969482422
"pdehk",47.5,"d",34.9000015258789,"nbugy",67.5,100.400001525879
"x0cw9",42.5,"s",8,"p8yud",67.5,63.4000015258789
"kuw5l",32.5,"s",2,"ynabm",57.5,11.3999996185303
