"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"a8gng",1,44,NA,7,4,9,"nigg8",77,1,35,30,14,FALSE
"clg5m",0,70,3,10,10,7,NA,NA,NA,NA,NA,NA,TRUE
"x6fpf",0,31,NA,8,10,2,"hvi12",87,2,60,45,21,FALSE
"vjb8x",1,32,NA,1,3,6,"jywkv",73,0,35,20,22,FALSE
"epzx4",1,51,NA,7,4,8,"c7ouq",79,1,30,32,20,FALSE
"l4tf3",1,78,NA,60,70,31,NA,NA,NA,NA,NA,NA,FALSE
"g2ciy",1,17,NA,NA,NA,NA,"qfdbf",79,0,20,45,23,FALSE
"kbu3t",1,76,1,45,20,9,NA,NA,NA,NA,NA,NA,TRUE
"rl94k",1,36,1,5,2,5,"lil7t",90,1,12,20,23,FALSE
"jah8b",0,44,0,10,10,8,"eq2zq",73,0,10,15,11,FALSE
"azxuy",1,90,2,110,160,31,NA,NA,NA,NA,NA,NA,TRUE
"n844e",1,39,NA,12,15,6,"t8kq8",73,3,95,120,12,FALSE
"hu8k2",1,72,0,25,10,6,NA,NA,NA,NA,NA,NA,TRUE
"qxzqn",1,51,NA,11,10,7,"mqo0i",90,2,110,160,31,FALSE
"h4aus",0,42,1,12,10,4,"hvi12",87,2,60,45,21,FALSE
"gvfhk",1,21,NA,NA,NA,NA,"jywkv",73,0,35,20,22,FALSE
"t1z3t",0,42,NA,NA,NA,NA,"jywkv",73,0,35,20,22,FALSE
"xdtq5",1,41,NA,7,4,9,"c7ouq",79,1,30,32,20,FALSE
"fv9dr",1,63,NA,25,25,25,NA,NA,NA,NA,NA,NA,TRUE
"ndb6k",0,44,0,12,6,4,"lil7t",90,1,12,20,23,FALSE
"qp3h6",0,30,NA,4,4,2,"t8kq8",73,3,95,120,12,FALSE
"rc1oh",0,21,NA,NA,NA,NA,"qfdbf",79,0,20,45,23,FALSE
"dxbrx",1,39,NA,6,5,7,NA,NA,NA,NA,NA,NA,FALSE
"i29yz",0,21,NA,NA,NA,NA,"l3mau",92,3,75,100,29,FALSE
"pdcdh",0,73,NA,3,5,7,NA,NA,NA,NA,NA,NA,FALSE
"e1atg",0,46,1,8,8,9,"yv7q5",74,0,30,33,13,FALSE
"xw80t",1,40,NA,5,5,1,"uzsoe",85,0,55,70,21,FALSE
"o2agd",0,36,NA,6,4,6,"hvi12",87,2,60,45,21,FALSE
"aor5a",0,48,NA,5,5,8,NA,NA,NA,NA,NA,NA,FALSE
"mbqio",1,51,NA,5,6,9,"yv7q5",74,0,30,33,13,FALSE
"blntj",0,36,NA,8,8,4,"osgzw",66,1,40,25,10,FALSE
"zdv03",0,44,NA,10,8,8,"d55cc",85,3,110,100,32,FALSE
"rvxlz",1,59,NA,35,20,23,NA,NA,NA,NA,NA,NA,FALSE
"ku738",0,45,NA,8,14,8,"yv7q5",74,0,30,33,13,FALSE
"e2os7",1,58,NA,35,60,41,NA,NA,NA,NA,NA,NA,TRUE
"j5u1v",1,55,2,12,10,7,"mqo0i",90,2,110,160,31,FALSE
"aalt3",0,34,NA,14,10,5,"r6jmd",84,4,150,300,41,FALSE
"r8o36",1,41,2,10,11,8,"mqo0i",90,2,110,160,31,FALSE
"c65c9",0,58,1,14,10,6,"d55cc",85,3,110,100,32,FALSE
"sy9b8",0,75,NA,9,12,5,NA,NA,NA,NA,NA,NA,TRUE
"ix4w1",0,63,NA,NA,NA,NA,"hrjso",93,2,70,150,25,TRUE
"tn1ml",1,34,NA,9,11,4,"mqo0i",90,2,110,160,31,FALSE
"aofct",0,47,NA,12,6,2,"eq2zq",73,0,10,15,11,FALSE
"nzdr2",0,39,NA,6,8,4,"osgzw",66,1,40,25,10,FALSE
"es0vh",1,40,NA,7,7,6,"ovmsp",84,3,70,90,24,FALSE
"qc4j4",0,64,NA,5,18,8,NA,NA,NA,NA,NA,NA,TRUE
"mv4ko",1,31,1,17,17,4,"r6jmd",84,4,150,300,41,FALSE
"dh6pa",0,51,0,10,8,6,"hvi12",87,2,60,45,21,FALSE
"vbgg8",1,36,NA,6,8,7,"osgzw",66,1,40,25,10,FALSE
"zvh3x",1,54,NA,6,5,4,"hvi12",87,2,60,45,21,FALSE
"wif0y",1,77,1,35,30,14,NA,NA,NA,NA,NA,NA,TRUE
"ape98",0,45,1,10,14,8,"d7m1d",72,0,25,10,6,FALSE
"jziyc",0,39,NA,NA,NA,NA,"hrjso",93,2,70,150,25,FALSE
"wa76n",0,41,NA,4,4,5,"jywkv",73,0,35,20,22,FALSE
"pv1mz",0,40,NA,NA,NA,NA,"mqo0i",90,2,110,160,31,FALSE
"xcxto",1,32,NA,14,13,4,"dd17q",68,3,125,160,26,FALSE
"hi999",1,63,3,90,60,24,NA,NA,NA,NA,NA,NA,TRUE
"x9iwk",0,36,NA,14,8,4,"l3mau",92,3,75,100,29,FALSE
"k748u",0,39,NA,4,5,5,"uzsoe",85,0,55,70,21,FALSE
"c8tnu",1,41,NA,14,15,7,"t8kq8",73,3,95,120,12,FALSE
"qleaz",1,40,NA,7,6,8,"yv7q5",74,0,30,33,13,FALSE
"t2tz5",0,41,0,6,8,4,"dd17q",68,3,125,160,26,FALSE
"ic84x",0,39,NA,NA,NA,NA,"hvi12",87,2,60,44,21,FALSE
"giffd",1,45,NA,7,7,4,NA,NA,NA,NA,NA,NA,FALSE
"gtdu0",1,42,NA,4,5,6,NA,NA,NA,NA,NA,NA,FALSE
"hr7jn",0,36,0,10,4,5,"uzsoe",85,0,55,70,21,FALSE
"br59d",1,34,NA,15,11,3,"ydecv",75,3,100,50,17,FALSE
"klc33",0,21,NA,NA,NA,NA,"r6jmd",84,4,150,300,41,FALSE
"cz19t",1,37,NA,3,3,5,"ty83m",71,2,35,30,24,FALSE
"yhhsk",0,30,NA,2,4,3,"mqo0i",90,2,110,160,31,FALSE
"h00h0",0,27,NA,NA,NA,NA,"mqo0i",90,2,110,160,31,FALSE
"nar4w",1,36,NA,5,4,6,NA,NA,NA,NA,NA,NA,FALSE
"nykaz",0,43,NA,11,7,7,NA,NA,NA,NA,NA,NA,FALSE
"qlwy3",0,35,NA,NA,NA,NA,"imv14",76,1,45,20,9,FALSE
"qvy8t",0,77,NA,4,6,7,NA,NA,NA,NA,NA,NA,TRUE
"hnzi3",0,44,NA,6,13,10,NA,NA,NA,NA,NA,NA,FALSE
"ptkml",0,33,NA,4,10,5,"jywkv",73,0,35,20,22,FALSE
"g60ig",1,73,3,95,120,12,NA,NA,NA,NA,NA,NA,TRUE
"eeoxa",1,47,NA,2,6,7,NA,NA,NA,NA,NA,NA,FALSE
"e9w3i",0,40,NA,4,4,5,"d7m1d",72,0,25,10,6,FALSE
"rae1a",1,39,NA,3,3,2,"ty83m",71,2,35,30,24,FALSE
"rv5tv",1,61,NA,47,25,17,NA,NA,NA,NA,NA,NA,FALSE
"cd2wh",1,55,NA,11,15,5,NA,NA,NA,NA,NA,NA,FALSE
"bw9gt",1,40,0,6,4,6,"nigg8",77,1,35,30,14,FALSE
"cbrei",1,73,0,35,20,22,NA,NA,NA,NA,NA,NA,TRUE
"sbxkh",0,43,NA,4,6,9,"uzsoe",85,0,55,70,21,FALSE
"sadj8",0,20,NA,NA,NA,NA,"dd17q",68,3,125,160,26,FALSE
"ls3nm",0,35,NA,9,6,7,NA,NA,NA,NA,NA,NA,FALSE
"od65k",0,31,NA,14,24,7,"r6jmd",84,4,150,300,41,FALSE
"mwrrd",0,76,NA,7,13,2,NA,NA,NA,NA,NA,NA,TRUE
"c3w1k",0,37,NA,4,6,5,"yv7q5",74,0,30,33,13,FALSE
"e0898",1,35,NA,12,12,8,NA,NA,NA,NA,NA,NA,FALSE
"chpia",0,46,2,18,14,7,"l3mau",92,3,75,100,29,FALSE
"fg7bb",1,59,NA,14,15,5,"hrjso",93,2,70,150,25,FALSE
"bv88o",1,55,NA,10,3,5,"zwhg5",83,0,20,20,14,FALSE
"s8j6g",1,81,NA,50,62,26,NA,NA,NA,NA,NA,NA,FALSE
"dvc8p",0,36,2,10,20,8,"jywkv",73,0,35,20,22,FALSE
"lciaz",1,33,NA,12,15,7,NA,NA,NA,NA,NA,NA,FALSE
"rt6wy",0,36,NA,6,10,5,"qfdbf",79,0,20,45,23,FALSE
"da4tg",1,35,NA,12,15,5,"t8kq8",73,3,95,120,12,FALSE
"drek3",1,35,NA,4,5,7,"hvi12",87,2,60,45,21,FALSE
"qyax6",0,46,NA,6,8,6,"nigg8",77,1,35,30,14,FALSE
"qwyhm",0,31,2,14,16,2,"mqo0i",90,2,110,160,31,FALSE
"m2hio",0,37,NA,4,10,6,"nigg8",77,1,35,30,14,FALSE
"ou2zo",0,66,0,4,24,6,NA,NA,NA,NA,NA,NA,TRUE
"qw7if",0,43,NA,NA,NA,NA,"ydecv",75,3,100,50,17,FALSE
"zoj58",1,32,2,20,14,4,"ty83m",71,2,35,30,24,FALSE
"mc22l",1,42,NA,2,3,9,"pqe4n",78,1,45,20,16,FALSE
"oweq2",1,40,NA,15,13,3,"dd17q",68,3,125,160,26,FALSE
"ffnjb",1,63,2,54,40,21,NA,NA,NA,NA,NA,NA,TRUE
"gqijz",0,28,NA,NA,NA,NA,"c7ouq",79,1,30,32,20,FALSE
"nimu6",0,79,3,14,17,8,NA,NA,NA,NA,NA,NA,TRUE
"pgj7r",1,59,NA,1,2,4,"d55cc",85,3,110,100,32,FALSE
"asmb5",1,45,NA,15,7,7,"jtahy",80,1,60,55,14,FALSE
"ckz8r",1,33,NA,6,5,3,"pqe4n",78,1,45,20,16,FALSE
"hal1o",1,63,2,85,80,13,NA,NA,NA,NA,NA,NA,TRUE
"uwbfk",0,37,NA,6,18,7,"eq2zq",73,0,10,15,11,FALSE
"as2el",0,32,NA,NA,NA,NA,"hrjso",93,2,70,150,25,FALSE
"jmd6o",0,54,NA,4,25,4,NA,NA,NA,NA,NA,NA,FALSE
"eqbxd",1,32,NA,NA,NA,NA,"jywkv",73,0,35,20,22,FALSE
"drxp7",0,34,1,25,20,9,NA,NA,NA,NA,NA,NA,FALSE
"hltyj",0,35,NA,2,4,4,"qfdbf",79,0,20,45,23,FALSE
"ioj80",0,27,NA,NA,NA,NA,"ty83m",71,2,35,30,24,FALSE
"m7qoe",0,41,1,5,5,5,NA,NA,NA,NA,NA,NA,FALSE
"vhhhj",1,56,NA,17,16,5,"hrjso",93,2,70,150,25,FALSE
"xicae",0,33,NA,8,6,5,"jtahy",80,1,60,55,14,FALSE
"geh3j",1,73,0,10,15,11,NA,NA,NA,NA,NA,NA,TRUE
"fws3y",0,45,NA,NA,NA,NA,"hrjso",93,2,70,150,25,FALSE
"v054s",1,32,0,10,10,2,"osgzw",66,1,40,25,10,FALSE
"wr66v",0,37,1,24,16,8,"mqo0i",90,2,110,160,31,FALSE
"klbzd",1,48,2,30,13,11,"dd17q",68,3,125,160,26,FALSE
"xubre",1,39,1,10,15,6,NA,NA,NA,NA,NA,NA,FALSE
"bnj53",1,80,1,60,55,14,NA,NA,NA,NA,NA,NA,TRUE
"m69pr",0,53,1,20,16,9,"jtahy",80,1,60,55,14,FALSE
"p9qid",1,60,NA,55,45,10,NA,NA,NA,NA,NA,NA,TRUE
"ip2td",1,34,NA,4,7,4,"ovmsp",84,3,70,90,24,FALSE
"a6h2x",0,37,NA,11,5,3,NA,NA,NA,NA,NA,NA,FALSE
"l79nj",0,36,NA,6,6,4,"mqo0i",90,2,110,160,31,FALSE
"w0crt",1,47,NA,25,7,12,"d55cc",85,3,110,100,32,FALSE
"i27ca",1,34,NA,4,11,8,"mqo0i",90,2,110,160,31,FALSE
"b1joq",0,37,NA,NA,NA,NA,"c7ouq",79,1,30,32,20,FALSE
"edwic",1,67,1,20,14,13,"hrjso",93,2,70,150,25,FALSE
"dhjx4",1,33,NA,9,6,11,NA,NA,NA,NA,NA,NA,FALSE
"l3ydo",1,13,NA,NA,NA,NA,"dd17q",68,3,125,160,26,FALSE
