"id","male","age","partners","livestock","land","RS","fid","agef","partnersf","livestockf","landf","RSf","has_parent_by"
"b1szo",0,54,3,9,14,10,NA,NA,NA,NA,NA,NA,FALSE
"hj6ws",1,37,NA,4,4,8,"nigg8",77,1,35,30,14,FALSE
"hry9d",0,37,0,4,8,6,"mqo0i",90,2,110,160,31,FALSE
"mb23o",0,32,NA,6,6,4,"d7m1d",72,0,25,10,6,FALSE
"udrws",1,37,NA,11,15,7,"t8kq8",73,3,95,120,12,FALSE
"ws1j0",0,43,0,12,6,7,"ty83m",71,2,35,30,24,FALSE
"hqpk8",1,36,NA,5,4,12,NA,NA,NA,NA,NA,NA,FALSE
"pf65x",0,18,NA,NA,NA,NA,"lil7t",90,1,12,20,23,FALSE
"qy6xa",0,57,NA,6,6,8,"hrjso",93,2,70,150,25,FALSE
"pahfk",0,56,NA,10,12,3,"l3mau",92,3,75,100,29,FALSE
"t67px",0,36,NA,20,18,7,"r6jmd",84,4,150,300,41,FALSE
"p8xa2",1,62,1,31,8,11,"mqo0i",90,2,110,160,31,FALSE
"bbjfr",1,53,NA,3,4,8,"nigg8",77,1,35,30,14,FALSE
"ygm62",0,33,NA,NA,NA,NA,"eq2zq",73,0,10,15,11,FALSE
"flha8",1,13,NA,NA,NA,NA,"dd17q",68,3,125,160,26,FALSE
"e18fx",0,73,1,13,5,6,NA,NA,NA,NA,NA,NA,FALSE
"m5jay",1,31,2,25,30,24,"t8kq8",73,3,95,120,12,FALSE
"qnixn",1,19,NA,NA,NA,NA,"qfdbf",79,0,20,45,23,FALSE
"lqyfz",1,44,1,30,11,10,"ydecv",75,3,100,50,17,FALSE
"i2b9w",0,34,NA,6,10,5,"r6jmd",84,4,150,300,41,FALSE
"nv711",1,41,NA,4,3,9,"ty83m",71,2,35,30,24,FALSE
"fto8d",1,52,1,20,17,9,"r6jmd",84,4,150,300,41,FALSE
"ytcv9",1,51,3,25,30,20,NA,NA,NA,NA,NA,NA,FALSE
"enk1s",0,37,NA,10,10,6,"l3mau",92,3,75,100,29,FALSE
"d0n5z",0,38,0,10,14,8,"ty83m",71,2,35,30,24,FALSE
"gsvgg",1,53,NA,10,4,7,"imv14",76,1,45,20,9,FALSE
"gt0s6",1,44,0,18,5,6,"hvi12",87,2,60,45,21,FALSE
"ysjxk",0,23,NA,NA,NA,NA,"pqe4n",78,1,45,20,16,FALSE
"er9z3",0,34,0,10,18,6,"t8kq8",73,3,95,120,12,FALSE
"oozip",1,56,0,17,9,10,"mqo0i",90,2,110,160,31,FALSE
"wlmix",0,53,NA,5,4,4,NA,NA,NA,NA,NA,NA,FALSE
"k4vfy",0,75,NA,0,2,5,NA,NA,NA,NA,NA,NA,TRUE
"s0yav",0,35,NA,9,9,7,NA,NA,NA,NA,NA,NA,FALSE
"ld48z",0,33,1,18,12,0,"osgzw",66,1,40,25,10,FALSE
"lcj0p",0,45,NA,10,4,3,"pqe4n",78,1,45,20,16,FALSE
"mq6yv",0,34,NA,4,2,1,"uzsoe",85,0,55,70,21,FALSE
"q1a15",1,45,1,6,4,5,"nigg8",77,1,35,30,14,FALSE
"sj063",1,47,NA,11,17,5,"r6jmd",84,4,150,300,41,FALSE
"abbxg",0,13,NA,NA,NA,NA,"mqo0i",90,2,110,160,31,FALSE
"ehofr",0,36,1,17,12,7,NA,NA,NA,NA,NA,NA,FALSE
"u3env",0,49,0,6,6,6,"pqe4n",78,1,45,20,16,FALSE
"zc8u3",1,40,1,25,7,5,"d55cc",85,3,110,100,32,FALSE
"yrpz3",1,40,NA,9,6,12,"yv7q5",74,0,30,33,13,FALSE
"bondi",0,50,NA,6,8,8,"uzsoe",85,0,55,70,21,FALSE
"p2321",1,46,NA,1,3,2,"eq2zq",73,0,10,15,11,FALSE
"ycpgl",0,36,NA,NA,NA,NA,"uzsoe",85,0,55,70,21,FALSE
"lk30y",1,40,1,9,17,3,"r6jmd",84,4,150,300,41,FALSE
"cw4o7",1,84,3,70,90,24,NA,NA,NA,NA,NA,NA,TRUE
"hhn3r",1,51,0,12,7,6,"l3mau",92,3,75,100,29,FALSE
"dji1n",1,35,NA,13,14,6,NA,NA,NA,NA,NA,NA,FALSE
"mi7iz",0,36,NA,6,12,5,"pqe4n",78,1,45,20,16,FALSE
"iu22q",0,49,NA,6,4,2,"d55cc",85,3,110,100,32,FALSE
"h0fe7",0,34,NA,4,2,4,"lil7t",90,1,12,20,23,FALSE
"fgffv",1,31,1,16,15,3,"t8kq8",73,3,95,120,12,FALSE
