"wealth","wealthf","male","age","fid"
0,NA,1,"151","rzewn"
NA,NA,0,".","eve88"
NA,NA,0,".","mlgzl"
0,NA,1,"53","sxy1w"
0.25,0.379999995231628,1,"36","yxu49"
0.5,NA,0,".","tp0of"
NA,NA,1,".","jrmw3"
0.879999995231628,NA,0,".","i0un1"
NA,NA,1,".","rpyy1"
0,0.379999995231628,0,"50","q33f9"
NA,NA,1,".","z3z6b"
NA,NA,0,".","i1sh2"
0.100000001490116,NA,1,"83","rbtlz"
0.129999995231628,NA,0,"52","unyb3"
NA,NA,0,".","c3hab"
NA,NA,0,".","pbu6b"
0.25,0.330000013113022,0,"61","lqqh2"
2,NA,0,"52","aihrc"
0.100000001490116,NA,0,".","n53lj"
NA,NA,0,".","hrykm"
0.100000001490116,NA,1,"52","ta7f3"
0.629999995231628,0.379999995231628,1,"41","jrmw3"
1.10000002384186,NA,0,".","aesm2"
0,NA,0,".","ftu97"
0.879999995231628,NA,1,"72","qc4za"
0,NA,0,".","lp7ic"
0,NA,1,"37","faz12"
0,NA,0,".","iie6d"
0.5,NA,1,"39","d7yfi"
NA,NA,0,".","l18xh"
0,NA,1,"41","q33f9"
NA,NA,1,".","dvezc"
NA,NA,1,".","c3hab"
NA,NA,0,".","f9ee9"
0,NA,1,"73","sr565"
NA,NA,0,".","hrykm"
0.379999995231628,NA,1,"86","xtov7"
0.0500000007450581,NA,0,".","f9ee9"
0.170000001788139,0,0,"43","mro6v"
0,NA,0,".","r2l3x"
0.0500000007450581,NA,0,"66","rrsgr"
NA,NA,0,".","xl9t1"
0,0,0,"43","wpd36"
NA,NA,1,".","n53lj"
0,NA,0,".","tho1c"
0.300000011920929,0.150000005960464,1,"31","d98ud"
NA,0.300000011920929,0,"35","iie6d"
0,NA,0,".","hrykm"
0,NA,1,"106","hk4xx"
NA,NA,1,".","d1gdh"
0,NA,1,"62","oag1i"
0.5,NA,1,"47","c3hab"
0,NA,1,"33","kk507"
1,NA,1,"90","sd31e"
NA,NA,1,".","c3hab"
0.629999995231628,NA,0,".","mro6v"
0.5,NA,1,"58","ayhzf"
0,NA,0,"99","xtov7"
NA,NA,1,".","tho1c"
0.25,1.25,0,"37","x0htj"
0,NA,0,".","f9ee9"
NA,NA,1,".","qqbnf"
0.25,NA,1,"98","vmrlq"
1.5,NA,0,".","wvidg"
NA,NA,1,".","bt6kt"
0.5,1.04999995231628,1,"30","rpyy1"
NA,0,0,"96","yf93x"
0.100000001490116,NA,1,"90","hflyx"
0.25,NA,0,".","reh80"
0,0.0500000007450581,0,"68","wgakf"
0.600000023841858,NA,1,"121","xo18c"
0,NA,0,".","x0htj"
0,NA,0,".","wuyof"
0,NA,0,".","lp7ic"
0,NA,1,"44","qqbnf"
NA,NA,0,".","faz12"
0.25,0.5,0,"47","f6kri"
NA,NA,0,"51","x0htj"
0,0,0,"76","geb3l"
0,NA,0,".","we6ko"
0.699999988079071,NA,0,".","ydjfm"
NA,NA,1,".","hrykm"
0.150000005960464,NA,1,"36","d98ud"
0,NA,0,".","x0htj"
0,NA,1,"126","blol8"
1.04999995231628,0,1,"63","mil5n"
0,NA,1,"70","sownw"
0.400000005960464,NA,1,"52","mro6v"
0.25,NA,1,"58","cawlw"
NA,NA,0,".","f6kri"
0.5,NA,1,"107","z7iyv"
0.100000001490116,NA,1,"95","xc741"
NA,NA,0,".","b2wu6"
0,0.400000005960464,0,"31","i9pcx"
NA,NA,0,".","xl9t1"
0,NA,1,"103","ibh9c"
0.379999995231628,NA,1,"59","kllfo"
0,NA,0,".","wxi1c"
0.25,0.280000001192093,0,"43","fpn9b"
NA,NA,0,".","hrykm"
0.180000007152557,NA,1,"54","oekrn"
0.0500000007450581,NA,1,"90","tg73u"
0.25,0,0,"55","n53lj"
0,0.100000001490116,1,"106","isdea"
NA,NA,0,".","xl9t1"
0,NA,0,".","pbu6b"
0,NA,0,".","fvtdw"
0.400000005960464,NA,1,"68","w62ot"
0.5,NA,0,".","rpyy1"
0.100000001490116,NA,1,"84","mwgj3"
0.300000011920929,NA,0,".","lh22l"
NA,NA,1,".","d7yfi"
0,NA,1,"42","f9ee9"
0.200000002980232,NA,0,".","i0un1"
0.150000005960464,NA,0,".","tho1c"
0,NA,1,"106","ui1u7"
2.20000004768372,0,1,"90","i56gh"
0.75,NA,0,"73","kswho"
0,NA,1,"96","xtov7"
0.5,0,1,"78","oag1i"
0.100000001490116,NA,0,".","wxi1c"
NA,NA,0,".","ssyz1"
NA,NA,0,".","gg4na"
