"sex","land","kuniony","landf","uniony","idu"
1,0,"NA",0,1738,"VI0450"
2,81.5,"1751",38,1725,"PI2145"
1,74,"1767",3.29999995231628,1727,"GS0398"
2,0,"1861",16,1836,"CN0232"
2,14,"1777",2.5,1736,"PE0038"
2,0,"1785",0,1756,"GS2333"
2,0,"1781",0,1726,"PI0926"
1,3,"1777",19,1735,"GS1907"
1,121.5,"1805",278,1761,"VI0595"
2,0,"1801",17,1774,"PI0187"
2,0,"1786",3,1743,"VI0300"
2,0,"1734",137,1716,"PI2329"
1,12,"1784",0,1751,"GS0469"
2,0,"1793",0,1763,"HW0973"
1,0,"1840",0,1801,"GS0124"
1,387,"1835",2.5,1810,"PE0997"
2,0,"1761",0,1733,"EI0774"
2,67,"1769",75.25,1746,"VI0690"
1,0,"1781",15.5,1754,"PE1464"
2,0,"1775",0,1737,"GS0661"
1,0,"1803",0,1760,"GH0620"
1,0,"1741",0,1715,"GS2178"
2,86.5,"1754",171,1729,"GH0086"
1,0,"1740",0,1714,"GS2867"
2,77,"1812",14,1784,"UT1026"
1,45.5,"1781",30,1748,"LP0368"
1,113,"1792",0,1730,"EI0084"
2,12,"1779",38,1754,"PE0563"
2,0,"1753",43.5,1726,"GS2892"
1,0,"1863",0,1839,"GI2171"
2,0,"1823",0,1782,"GS1076"
1,132,"1775",165,1748,"UP0924"
2,0,"1768",0,1736,"UP0458"
1,46,"1797",46,1756,"EI0429"
1,0,"1769",56.5,1744,"FR0147"
1,0,"1809",0,1786,"PI1170"
2,0,"1761",0,1736,"GS0295"
2,0,"1773",0,1729,"UP0256"
1,0,"1793",0,1759,"PI1962"
2,0,"1801",0,1770,"VI1674"
1,0,"1748",50,1715,"GS0642"
2,0,"1744",0,1718,"GH0966"
1,0,"1794",0,1746,"JE0443"
1,4.5,"1815",0,1777,"GS0194"
1,0,"1754",0,1731,"EI1201"
1,0,"1751",0,1711,"GS2667"
1,61,"NA",73,1736,"PI1513"
1,80,"1769",85,1737,"VI0685"
1,3,"1743",0,1710,"GS1243"
1,0,"1810",3,1777,"GS0137"
1,2.5,"1753",9,1722,"PI2325"
1,0,"1784",0,1759,"GI0679"
2,0,"1793",0,1759,"PI0619"
2,4.5,"1821",136.5,1788,"UP1005"
1,0,"1797",0,1741,"GI0407"
2,61.5,"1795",196,1764,"GH0352"
2,0,"1780",0,1737,"PI1004"
1,1,"1794",1,1753,"VI0301"
2,0.300000011920929,"1825",0,1792,"CI0148"
2,27,"1794",91,1771,"UT0956"
1,66,"NA",110,1749,"EI1638"
2,0,"1775",0,1745,"GS1123"
2,0,"1788",0,1751,"GS1035"
2,3,"NA",0,1765,"HW1214"
1,0,"1800",0,1765,"GS1297"
2,0,"1817",27,1782,"FR0618"
2,0,"1796",0,1775,"GS1992"
1,0,"1788",0,1753,"UP1209"
2,0,"1850",0,1806,"HW0966"
2,0,"1751",8,1719,"GS1140"
