"assets","estatevaluef","age","agef"
895.599975585938,189.899993896484,41.2000007629395,69.0999984741211
79.4000015258789,60.2999992370605,56.4000015258789,65.6999969482422
142.899993896484,160,56.2000007629395,NA
1727.90002441406,4428,63.2999992370605,59
657.5,1719.30004882812,42,52.7999992370605
8448.099609375,3456.19995117188,45.2999992370605,49.9000015258789
426.100006103516,189.899993896484,61.0999984741211,69.0999984741211
140.300003051758,285.600006103516,42,76
1510,3684.30004882812,40.5,65.4000015258789
170,82.5999984741211,54.5,65.3000030517578
1549.69995117188,985.200012207031,49.7999992370605,74.5
156.800003051758,164.5,42.5,62.9000015258789
1686.19995117188,1358.30004882812,43.7999992370605,55.9000015258789
60,76.6999969482422,51.5,74.0999984741211
872.299987792969,1339.5,50.2000007629395,82.5
61.9000015258789,310.100006103516,NA,75.0999984741211
205.199996948242,63.7999992370605,59.2999992370605,56.2000007629395
60.9000015258789,334.299987792969,47.5999984741211,59.4000015258789
434,355.5,74.0999984741211,70.6999969482422
67.5999984741211,185.5,49.7999992370605,63.2000007629395
153.100006103516,94.5,60.5,61
138.899993896484,844.799987792969,43.5999984741211,62.2000007629395
167.600006103516,80.1999969482422,66.9000015258789,70.8000030517578
50.7999992370605,52,61,61.5
1543.59997558594,1339.5,48,82.5
88.8000030517578,42.4000015258789,48.0999984741211,70.8000030517578
213.199996948242,122.400001525879,81.1999969482422,74.3000030517578
185.5,38,63.2000007629395,NA
443.399993896484,985.200012207031,47.5,74.5
459.200012207031,688.599975585938,51.5,57.7999992370605
49.0999984741211,42.7999992370605,54.4000015258789,56.7999992370605
576.200012207031,54.5999984741211,71.6999969482422,80.9000015258789
53.2000007629395,678.5,57.4000015258789,47.0999984741211
40.5,578.799987792969,82.0999984741211,66.1999969482422
22.7000007629395,320.899993896484,36.7000007629395,70.3000030517578
68.9000015258789,569,65.3000030517578,NA
56.2000007629395,0,36.5,61.9000015258789
238.100006103516,178.399993896484,47,67.5
258.600006103516,437.100006103516,70.5,80.5
243.5,211.699996948242,47.5999984741211,NA
469.299987792969,235.199996948242,54.2000007629395,52.2000007629395
525.099975585938,95.3000030517578,53,67.5999984741211
840,1271.30004882812,72.5999984741211,50.2999992370605
2457.5,191.300003051758,45,59.5999984741211
80,162.300003051758,56.5,71.5
514.200012207031,132.5,45.7999992370605,52.9000015258789
99.8000030517578,248.199996948242,42.0999984741211,59.2999992370605
38.7999992370605,80,42,68.9000015258789
356.899993896484,397,69.4000015258789,71.9000015258789
292.899993896484,1510,24.2000007629395,40.5
176.800003051758,589.5,41.2000007629395,57.4000015258789
84.9000015258789,71.0999984741211,41.5999984741211,66.6999969482422
246.5,252.600006103516,49.9000015258789,63.4000015258789
100.699996948242,0.100000001490116,67.8000030517578,67.9000015258789
216.899993896484,166.800003051758,65,50.9000015258789
5,60.2999992370605,38.5999984741211,65.6999969482422
1206,2993.30004882812,48.5999984741211,NA
192.100006103516,499.5,52.5,63.9000015258789
96.8000030517578,58.5999984741211,NA,57.7999992370605
247.800003051758,14.6999998092651,61.5999984741211,39.9000015258789
160,268.600006103516,32.7000007629395,48.7000007629395
49.0999984741211,84.9000015258789,40.4000015258789,54.4000015258789
953.599975585938,470.5,50.2000007629395,74.1999969482422
46.7999992370605,559.799987792969,74.3000030517578,46.9000015258789
10.8999996185303,4.5,50.5,61.4000015258789
89.3000030517578,4.90000009536743,43.5,61.2000007629395
58.7999992370605,42.5,43.5,57
1114.30004882812,285.700012207031,54.7999992370605,52.7000007629395
98.5999984741211,43.7999992370605,66.8000030517578,30.3999996185303
470.899993896484,1140.59997558594,42.9000015258789,64.4000015258789
323,901.599975585938,43.7000007629395,NA
55,120,65.4000015258789,NA
99.9000015258789,213.300003051758,42.4000015258789,NA
269.5,482.299987792969,49.2000007629395,80.1999969482422
411.399993896484,114.599998474121,41.7999992370605,58.2000007629395
5.09999990463257,115.5,48.5999984741211,56.7000007629395
603.099975585938,328,59.5999984741211,71.5
240,70,50.0999984741211,61.5999984741211
120,83,48.7999992370605,50.7999992370605
9.69999980926514,48,NA,56.0999984741211
218.199996948242,77.4000015258789,49.2999992370605,55.0999984741211
445.799987792969,1832.90002441406,64.0999984741211,70.3000030517578
56.5,73.6999969482422,52.5999984741211,56.7000007629395
1072.40002441406,74.4000015258789,80.3000030517578,45.2000007629395
121.5,154.899993896484,31.3999996185303,78.6999969482422
224.300003051758,42.5,57.5999984741211,57
123.199996948242,309.799987792969,41.2999992370605,63.4000015258789
194.100006103516,118.5,47.7999992370605,NA
2.09999990463257,75.3000030517578,56.7999992370605,64.0999984741211
6,157.199996948242,45.7999992370605,NA
98.6999969482422,851.200012207031,72.1999969482422,59.0999984741211
142.899993896484,160,44.2999992370605,NA
362.899993896484,617.700012207031,41.7000007629395,62.9000015258789
640.700012207031,511.399993896484,NA,74.4000015258789
83.6999969482422,102.5,71.9000015258789,62.7000007629395
267.399993896484,176.199996948242,40.7000007629395,68.5
721,834.400024414062,41.7000007629395,43.2999992370605
119.300003051758,776.099975585938,49.7000007629395,52.5999984741211
107.800003051758,140,NA,65.0999984741211
187.300003051758,43.7999992370605,NA,30.3999996185303
109.199996948242,61.4000015258789,39.4000015258789,49
280.5,127.5,21.7999992370605,30.2000007629395
336.700012207031,499.5,55.5999984741211,63.9000015258789
73,186.699996948242,57.2999992370605,77.4000015258789
50.9000015258789,114,NA,NA
2744.10009765625,1719.30004882812,43.7000007629395,52.7999992370605
119.099998474121,40,42.7000007629395,51.7999992370605
1395.90002441406,569,56.0999984741211,NA
