"id","fid","mid","weight","weightf","weightm","sex","age","agem","agef"
"j80ug",NA,"ri0wj",42.7000007629395,NA,NA,1,53,NA,NA
"l2k1o","ztfn0","jt2cc",12.1999998092651,54.0999984741211,50.0999984741211,2,4,25.3299999237061,31.5200004577637
"l4qjw","r9hbb","mhrz3",44,58.2999992370605,54.9000015258789,2,23,40,41
"ur7fo","migrf","vucow",46,NA,NA,2,61,NA,NA
"c5rrl",NA,NA,NA,NA,NA,1,2,NA,NA
"z7rz2","clwrj","hydq4",NA,55.0999984741211,50.5,1,2,36.5,39
"bfo4s",NA,"rwegr",NA,NA,46,1,22,49,NA
"v8dmt","ptw7p","ujmtm",46,NA,42,1,56,72,NA
"hpd0r","cakgx","cbgcv",46.4000015258789,NA,47.5999984741211,2,25.3299999237061,71,NA
"m8116","uyvrl","wyhrw",4,47,41,2,0,30,42
"hgt0s","c8ha1","hzgx7",51,NA,45,2,26,64,NA
"rc3n5",NA,"hidwv",59.0999984741211,NA,54,1,27,42.5,NA
"ccsjp","ere30","qegw2",12,52,49,2,4,34,46
"ewkj0","fp49p","nlfjx",46,NA,NA,2,49,NA,NA
"tvoar","lhu5g","dlqd1",44.5,41,47,2,36,63,75
"l5ntp","gxpdf",NA,16.2999992370605,50.4000015258789,NA,1,4.5,NA,36
"yl3eh","v01tf","fuv3v",45,37,45,1,32,44,73
"jyri9","af079","lvjpd",62.2000007629395,NA,NA,2,40,NA,NA
"yjqm9","bbz5w",NA,46,NA,NA,2,33,NA,NA
"p4c0v","yu0he","a5a5g",43.2999992370605,NA,NA,2,34.25,NA,NA
"xvc3n","wsd1b","w5fp4",13,52,47,2,5.25,23.5,21.6800003051758
"y2e2v",NA,NA,49.7000007629395,NA,NA,1,54,NA,NA
"ipt3o","bowdn","yylr7",58.9000015258789,59.7999992370605,49.7000007629395,2,26,63,68
"dzypf",NA,"ew92s",51,NA,NA,1,54.5,74,NA
"nvcx1","rybra","hxoar",50,48,NA,1,33,NA,58
"rjhfe","ntkh3","v9d4y",54,NA,NA,2,35,NA,NA
"wmjqe","ysya8","hmyv0",46,48,46,1,17,46,54
"wa54m","kfs0n","xe44s",49,56.9000015258789,53.7000007629395,2,40,54,55
"pptwg","gfe4t","xlxip",11.8999996185303,55,48,2,3.5,26,26.3899993896484
"qkgyf","migrf","vucow",50,NA,NA,1,41,NA,NA
"lpqmn",NA,NA,47.2999992370605,NA,NA,1,72,NA,NA
"wfaos","ere30","qegw2",18,52,49,1,7.36999988555908,34,46
"sorgi","cpapd","zw94x",51.9000015258789,NA,42.7999992370605,1,33,65,NA
"qrkju","f4mqa","vc9al",NA,NA,40.5999984741211,2,52,72,NA
"fv43i","th8z3","zyeil",29.8999996185303,29.8999996185303,41,1,9,43,9
"cv88m","f60ka","cx26s",49,61.5999984741211,NA,1,21,NA,50
"vtuy9",NA,NA,41.2999992370605,NA,NA,2,17,NA,NA
"otpdb","s96pu","ou38n",29.1000003814697,50.2000007629395,38,2,13,40,43
"x3nj3","q7l4v","bxi1f",50.5,NA,NA,2,36.5,NA,NA
"ho3pm","ywkqd","nzp0i",60,56.2999992370605,44,2,24.2999992370605,52,55
"a2c7h",NA,NA,55.5999984741211,NA,NA,1,22,NA,NA
"rm8u6",NA,"pigij",57.0999984741211,NA,37.2000007629395,1,32.5,70,NA
"h9w8o","pbqp1","qaf7b",20.3999996185303,63,55,1,7.65999984741211,35,37
"gw76i","udui5","r2g49",10,46,55,1,3.21000003814697,42,56
"mrw6e","gdbdo","fhhtb",12,64,51,1,5,20,24
"o3u54","htozb","h5g4v",52,44.2999992370605,NA,1,26.5,NA,48
"s34q7","hhuhn","onitx",50.5,51,52.9000015258789,2,26.3299999237061,55,54.5
"t0plt","da2m5","njil3",16,57,39,2,7,38.560001373291,37.5
"nav2o","tgk6r","u8v0t",53.2000007629395,NA,NA,1,50,NA,NA
"q3zsw",NA,"f6n72",16,NA,56,2,6,31,NA
"o7xz8","oqeex","w90ng",44.5999984741211,NA,45,2,36,65,NA
"nl3dm",NA,"xyv4c",16.3999996185303,NA,NA,1,8,NA,NA
"gq01r",NA,"rwegr",NA,NA,46,2,14,49,NA
"bd4v6","rybra","z689b",17,48,45.5999984741211,2,8.25,40.5,58
"csnfo","tvv3g","grolk",46.5,46.5,45.9000015258789,1,18,49,57
"u94bm","hj1hk","yx8uq",55.0999984741211,NA,NA,1,39,NA,NA
"h3wkx",NA,"zcztq",47.2999992370605,NA,NA,2,28,NA,NA
"au7jb","kezlt","yx52i",34,NA,NA,2,56,NA,NA
"b9ez0","duyda","nt880",53,57,39,2,23.5,41,48
"il0i2","pbqp1","qaf7b",18.3999996185303,63,55,1,5.75,35,37
"ljtl0","pndwx","yvtwq",53,NA,39,1,26,69,NA
"usvx5",NA,NA,NA,NA,NA,2,45,NA,NA
"s0rpu","qsctc","gdu7r",13,NA,50,1,2.79999995231628,22,32
"eq3xh",NA,"askb7",53.7000007629395,NA,44.7000007629395,2,16,50.3300018310547,NA
"hr68c","cakgx","cbgcv",56,NA,47.5999984741211,1,54,71,NA
"jeyn7",NA,NA,29,NA,NA,2,8,NA,NA
"wb6fi","rrr7x","cr9g7",NA,NA,32.2000007629395,2,47,75,NA
"p6l9a",NA,NA,64.5,NA,NA,1,51,NA,NA
"wivfe","xrd3d","z3wo6",58.4000015258789,NA,49,2,25,51.5,NA
"st42h",NA,"wb7nh",NA,NA,44,2,3.75,34,NA
"wxjzq",NA,"wknyg",46.5999984741211,NA,NA,2,17,NA,NA
"nwve2",NA,"ur1b3",9,NA,41,1,2,31,NA
"ghmc7","k8yi0","ri0wj",42.7999992370605,NA,NA,2,65,NA,NA
"otr7u","d9ccr","r6t9y",37.5999984741211,NA,NA,2,69,NA,NA
"q2unq","gxpdf","xf69v",19,50.4000015258789,45.2000007629395,1,7.5,37,36
"vqtid","lhu5g","dlqd1",48,41,47,2,34,63,75
"ksstg","po2le","ocn8u",9.69999980926514,56,36,2,2.5,43,56
"jfzst","zwf7o","j3ul6",64.3000030517578,61.4000015258789,44.2000007629395,1,27,55,62
"ajkil","jn2vw","szmx3",54,NA,NA,2,42.5,NA,NA
"ahyry",NA,"yojxo",27.7000007629395,NA,40.5999984741211,2,8.63000011444092,39,NA
"memhh","cakgx","cbgcv",45.9000015258789,NA,47.5999984741211,2,49,71,NA
"cdnkv","jc45z","hcjnx",66,NA,NA,1,30,NA,NA
"dzk1t","tx2k9","y403r",50,NA,NA,2,81,NA,NA
"dpgpk","khri9","dy6ws",49.5,NA,NA,1,41,NA,NA
"xvbug","m7ddo","uhi62",47,NA,NA,1,42,NA,NA
"ju6w5",NA,"mb7oa",12.1000003814697,NA,NA,1,3,NA,NA
"y4eax",NA,NA,45,NA,NA,2,20,NA,NA
"izan3","mf1ex","yjhjf",44.2999992370605,NA,34,2,18,56,NA
"f6hfi","v73ps","kffgo",15.5,NA,43.5,2,5,33.5,NA
"j7kn2",NA,NA,54.7000007629395,NA,NA,1,19.5,NA,NA
"djs2l","aly8q",NA,8.19999980926514,51.5,NA,2,2,NA,26.2999992370605
"eshhs","th8z3","zyeil",48.5999984741211,29.8999996185303,41,1,18,43,9
"hithq","cpapd","zw94x",56,NA,42.7999992370605,1,22.5,65,NA
"kqll2","po2le","ocn8u",23.7000007629395,56,36,1,9,43,56
"u9lsu","th8z3","zyeil",16.5,29.8999996185303,41,1,6,43,9
"tu05d","meptq","zr3ce",45.5,NA,43.0999984741211,1,24,66,NA
"m4ai7","xnoqj","os0n5",53,NA,NA,1,46.5999984741211,NA,NA
"rmtmk","rybra","z689b",11,48,45.5999984741211,1,6,40.5,58
"xnhqq","fobbb","d63f7",47,NA,NA,2,63,NA,NA
"u6ti5","ulj5b","uyvui",15,46,43,1,4.75,33,43
"ifx1i","szjn2","aoeuk",35.5,47.7000007629395,50.7000007629395,2,31,59,68
"k2isv",NA,NA,34,NA,NA,1,12,NA,NA
"epn1v","bbz5w","beq3y",34,NA,NA,2,48,NA,NA
"ttaq9","mf1ex","yjhjf",45,NA,34,2,30,56,NA
"k52nd",NA,"o9cr0",54.4000015258789,NA,33.9000015258789,1,24,56,NA
"fpk2y",NA,"mc928",NA,NA,NA,1,23,55,NA
"uzfl5",NA,"nt880",42,NA,39,2,26,41,NA
"juqxu","i56l6","szqld",NA,NA,NA,2,1,20,30
"jb76w",NA,"giu9v",27,NA,39,2,11,39,NA
"o6s9f","aopvi","ua0hc",55,NA,NA,2,35,NA,NA
"osh75","pbqp1","qaf7b",16,63,55,2,5.5,35,37
"ux10a","tvv3g","grolk",NA,46.5,45.9000015258789,1,17.5,49,57
"fbag8","aku6h","swta7",19.7999992370605,47,39,2,8.67000007629395,47,50
"iha6m","snhpy","vhqg5",15.6000003814697,46.5999984741211,NA,2,6,NA,49
"t79wb","c1qwa","usnnv",40,NA,50.7999992370605,1,14,40,NA
"ebazf","t1yui","ov2pt",23.2999992370605,57.7000007629395,42.4000015258789,1,10.5,56,64
"kx7pi","esmlv","zcztq",52.0999984741211,NA,NA,2,30,NA,NA
"xwlyk","idytr","gv4qy",41.5999984741211,46.5,36.5999984741211,2,41,65,81
"fg0yt","zwf7o","j3ul6",31.6000003814697,61.4000015258789,44.2000007629395,2,13.5,55,62
"d4ejg","rca4l","nq7p8",43,NA,NA,1,62,NA,NA
"fmjd5","q7l4v","bxi1f",63.5,NA,NA,1,42,NA,NA
"ahgt7","tnae8","bpqho",48,47,NA,1,58,NA,71
"cmzbu","c8ha1","hzgx7",58,NA,45,1,31,64,NA
"fbag8","aku6h","swta7",41,47,39,2,12.6700000762939,47,50
"ip8xh",NA,NA,35.7999992370605,NA,NA,2,14,NA,NA
"t8gtq",NA,NA,NA,NA,NA,2,62.5,NA,NA
"cc0ty","fl1i2","giu9v",7.40000009536743,42.7000007629395,39,1,1,39,53
"zs4zf","uc1di",NA,51.5999984741211,NA,NA,1,65,NA,NA
"mypgb","mf1ex","yjhjf",55.5999984741211,NA,34,2,22,56,NA
"o0c71","tyo5j",NA,54,56.5999984741211,NA,1,43,NA,62
"yu7cd",NA,NA,48.5999984741211,NA,NA,1,18,NA,NA
"b3kr0","hhuhn","onitx",46,51,52.9000015258789,1,21,55,54.5
"an01a",NA,"wdrq9",NA,NA,NA,2,12,37.5,NA
"dl7ay",NA,NA,58.5999984741211,NA,NA,1,30,NA,NA
"sc8yl","n2q7s","onitx",50,NA,52.9000015258789,2,28.1000003814697,55,NA
"zxwy8",NA,"f6n72",15.1999998092651,NA,56,2,5,31,NA
"f17ei","idytr","vc9al",60,46.5,40.5999984741211,1,46,72,81
"sc8br",NA,"beca5",NA,NA,55.0999984741211,1,5,27.5,NA
"p1m5x",NA,NA,NA,NA,NA,2,69,NA,NA
"jm53j","oeazl","odm68",48.4000015258789,NA,NA,1,41,NA,NA
"xj2ol","af079","lvjpd",66.6999969482422,NA,NA,1,50,NA,NA
"hyc6w","iv9pi","k4mej",46,NA,39.7000007629395,1,43,62.5,NA
"bs1v2","s629m","rwegr",60,NA,46,1,23,49,NA
"cdkaz",NA,"hwqon",57,NA,NA,1,57,NA,NA
"fodtb","idytr","vc9al",46,46.5,40.5999984741211,1,42,72,81
"zkcq5","qcy9w","omq3f",54.5999984741211,NA,NA,2,52,NA,NA
"kgv3y","xwq5s","wlbms",8,46,54.4000015258789,2,1.20000004768372,33,28.3500003814697
"n1fm1",NA,NA,45,NA,NA,1,15,NA,NA
"uydsy",NA,NA,58,NA,NA,1,60,NA,NA
"fehgt","t0dee","zbzqj",7,52,40,2,0.75,31.5,38
"uw0j6",NA,NA,18.7999992370605,NA,NA,1,7,NA,NA
"dgh9n",NA,"tbcqd",15.3999996185303,NA,50,1,5,39,NA
"jmd9a","jaaft","hidwv",59,56,54,1,19.5,42.5,54
"rzfbc","x7jtl","lrxxq",12.8000001907349,49,NA,2,5,NA,44
"thq5u","h5k73","beca5",4.5,53,55.0999984741211,2,0.166999995708466,27.5,47.2000007629395
"sj6ny",NA,"qnl9l",17.2000007629395,NA,NA,2,6.5,NA,NA
"nede3","xrd3d","wblgn",50.0999984741211,NA,47,2,23,43,NA
"chhdc","f3z9i","hqs80",42,49.7999992370605,41.5999984741211,1,20.5200004577637,41,46
"x9ms8","po2le","ocn8u",7,56,36,2,1.16999995708466,43,56
"uovus",NA,NA,50.0999984741211,NA,NA,1,68,NA,NA
"i0yvz","l8ycn","e7fj6",54,50.0999984741211,NA,1,34,NA,68
"txgx2","j34ex","dxinc",47,NA,41.2000007629395,2,31.5,45,NA
"dkw7l","ulj5b","uyvui",50,46,43,2,15.5,33,43
"scs3c","wpv0m","oqjue",57,49,NA,2,30.5,NA,65
"cfmrk",NA,"cz7y6",56,NA,NA,1,41,NA,NA
"dz6ui","ulj5b","uyvui",22.3999996185303,46,43,2,10,33,43
"prrzm",NA,"nv1ut",47,NA,41.2999992370605,1,30,55,NA
"gznxh","ggpxi","nwuha",50.7000007629395,49.7999992370605,NA,1,18,NA,62.5
"asgna","v01tf","fuv3v",46.2999992370605,37,45,2,28,44,73
"hrt23",NA,NA,51.5999984741211,NA,NA,2,26,NA,NA
"mq2i9",NA,NA,10.1000003814697,NA,NA,2,3,NA,NA
"dol8r","c46fx","sqrgi",59,NA,54.5999984741211,2,21,52,NA
"l8ew2","k8yi0","e6hnj",NA,NA,NA,NA,47,NA,NA
"eqf1g","hlquz","m28v5",35.7000007629395,NA,NA,2,71,NA,NA
"q1i1o",NA,NA,NA,NA,NA,2,23,NA,NA
"q2oa4",NA,NA,NA,NA,NA,1,38.5,NA,NA
"dv61m",NA,"ats4w",NA,NA,49.5,2,43,72,NA
"c6m35",NA,"xya1w",16,NA,NA,2,6,NA,NA
"w1l0e","l3w7q","zff86",30.6000003814697,61,42.4000015258789,1,12,38,31
"bl8oa","q75tu","ghbgk",44,NA,NA,2,29.5,NA,NA
"bz2gx","mf1ex","yjhjf",53.5999984741211,NA,34,1,24.2999992370605,56,NA
"xkfli",NA,"ithht",30,NA,NA,2,10,NA,NA
"fm3cw",NA,NA,41,NA,NA,2,43,NA,NA
"c7z1y","vjbhb","aodp2",41,NA,NA,1,75,NA,NA
"me249",NA,"shw78",NA,NA,50.5,2,1.75,26.3299999237061,NA
"y5yya",NA,NA,NA,NA,NA,1,4,NA,NA
"gejqf","h93vu","pchqo",47,NA,NA,1,77,NA,NA
"vkv14",NA,NA,49,NA,NA,1,41.5,NA,NA
"ll517",NA,NA,NA,NA,NA,2,23,NA,NA
"u99xu","ea5cn","qc0oo",52.0999984741211,53,48,1,22,51,55
"pknyl",NA,"u3s4z",48,NA,NA,2,71.5,NA,NA
"vw8ue","ic792","z5b5y",41,NA,NA,2,30,NA,NA
"oevs5","c8ha1","hzgx7",36.5,NA,45,2,28.7999992370605,64,NA
"r8etp","ox6il","d6icy",16,61,45,2,6.30000019073486,31.5,33.5
"fgsku","ahugv","jhoxn",54.5999984741211,62.0999984741211,NA,1,30,NA,66.5
"o77j1","f3vf8","bddtq",52.0999984741211,NA,NA,1,51,NA,NA
"ayear",NA,NA,NA,NA,NA,2,53,NA,NA
"bb928",NA,NA,50,NA,NA,2,48,NA,NA
"m8h70",NA,NA,45.2999992370605,NA,NA,2,21,NA,NA
"p1q3i","ojamn","vejtp",47,60.2000007629395,NA,2,23,NA,42
"yxsp9",NA,NA,55,NA,NA,1,34,NA,NA
"yymxx","y2sty","qgcli",44,NA,NA,2,34,69,NA
"x6e3q","ea5cn","qc0oo",50,53,48,2,22,51,55
"rcyul","buzbj","hcjnx",23,57,NA,2,9.5,NA,57
"cfrbx","jsuka","tde3k",NA,52.7000007629395,48.0999984741211,1,1.75,27.5,30
"zp5eo","xrqk6","eu9p8",48,43,42.5999984741211,1,27,46,62
"dgte1",NA,NA,15.6000003814697,NA,NA,1,7,NA,NA
"jef6f","xrqk6","eu9p8",38,43,42.5999984741211,2,21,46,62
"stqo7","t0dee","zbzqj",12,52,40,2,3.5,31.5,38
"l03s7","r9hbb","mhrz3",40,58.2999992370605,54.9000015258789,1,11.75,40,41
"qpmw0","fvt0z","u2n8m",43,47,NA,2,33,NA,77
"wjy5v","t5jgx","b76sk",44,NA,NA,1,35,NA,NA
"wk3iw",NA,NA,24.7999992370605,NA,NA,1,13,NA,NA
"mdmzy","cc07o",NA,56.7000007629395,NA,NA,1,38,NA,NA
"vjm3j","oqcsq","paydk",26.3999996185303,NA,NA,2,10,NA,NA
"isexr","rjfo6","jqr5t",22,NA,54,2,7,35,NA
"pzm0g","ff284","xe44s",55,53.2000007629395,53.7000007629395,NA,21.3500003814697,54,50
"ale8a","wdksa","ippfd",50.0999984741211,52.0999984741211,NA,2,25.3299999237061,NA,41
"lu58j","pucde",NA,53,NA,NA,1,66.5,NA,NA
"kd2bu","iyvkv","dlqd1",57,NA,47,1,37.5,63,NA
"s2dsb","lfftc","xw34q",15,58,46,2,5.5,30,43
"q2q7o",NA,NA,53.4000015258789,NA,NA,1,55,NA,NA
"uusw1","lskb4","wyhrw",13,49.4000015258789,41,2,4,30,39
"dneu8","n2q7s","onitx",63,NA,52.9000015258789,1,37,55,NA
"h9l3q","cfh8l",NA,51.4000015258789,NA,NA,1,62,NA,NA
"taaa5","tlucw","eycii",40.2000007629395,NA,NA,2,23,40,47
"nwgx2","z82xa","ohwu4",NA,NA,43.2999992370605,2,4,34.25,NA
"buei8","lfftc","fhhtb",21,58,51,2,9,20,43
"svqdd",NA,NA,56,NA,NA,1,24,NA,NA
"udpqn","up2tq","hxoar",49,NA,NA,1,65,NA,NA
"dh8ys",NA,"wb7nh",NA,NA,44,2,1.41999995708466,34,NA
"ix2tu",NA,NA,39.7000007629395,NA,NA,2,69,NA,NA
"wueev","c46fx","dlqd1",53,NA,47,1,37,63,NA
"awc1p","tvv3g","grolk",23.7999992370605,46.5,45.9000015258789,1,10.5200004577637,49,57
"m4p1m","f3z9i","hqs80",13.6999998092651,49.7999992370605,41.5999984741211,1,5,41,46
"kpb0f","ybcy4","li7mh",37,NA,NA,2,69,NA,NA
"xiujh","udui5","r2g49",13.5,46,55,1,5.11999988555908,42,56
"ryh9e","c6c40","pg1l7",15,44,35,2,6,35,35
"idzga","o5l2n","j744c",30.7999992370605,57,59,2,13.5,46.5,41
"ogxpu","tyo5j","bvjk4",34.5999984741211,56.5999984741211,NA,2,12.75,47,62
"kkbp9","k79n7","d047n",49.7999992370605,NA,38.7000007629395,1,46,66,NA
"ssyr0","ahugv","jhoxn",58.2999992370605,62.0999984741211,NA,1,40,NA,66.5
"qpesj",NA,NA,49.7000007629395,NA,NA,2,40,NA,NA
"sumhf",NA,"rk78r",46.4000015258789,NA,NA,1,58,NA,NA
"tf0hc",NA,"t49p0",50,NA,NA,1,45,NA,NA
"w1klh","xrd3d","wblgn",46,NA,47,2,30,43,NA
"ashal",NA,NA,24.8999996185303,NA,NA,2,7,NA,NA
"zaslp","ahugv","hr1qq",45.2999992370605,62.0999984741211,54.4000015258789,1,26.5,60,66.5
"uszwj","yu0he","mz207",39.7999992370605,NA,NA,2,31,NA,NA
"dthm2","py02x","gnwlg",53,NA,50,1,55,81,NA
"aok9w","ulj5b","uyvui",13,46,43,1,3,33,43
"bekkn",NA,NA,NA,NA,NA,1,15,NA,NA
"etwvt",NA,NA,44.0999984741211,NA,NA,2,66,NA,NA
"nlrl7","rhlx4","nzp0i",52,61,44,2,20,52,46
"ka3vm",NA,NA,44.7000007629395,NA,NA,1,28,NA,NA
"xdezd","v2h0p","srfuy",60.2000007629395,53.7999992370605,NA,1,42,NA,85
"kzu6h","qe57f","akoqu",41,54.2000007629395,47,2,23,41,40
"k0trt","yu0he","ctxpl",49.2000007629395,NA,37.5999984741211,1,46.5,69,NA
"btf4z","pa34o","x57vz",48.7999992370605,NA,NA,2,20.5,NA,NA
"opr5z","juqjk","dv1q0",55.4000015258789,NA,NA,1,25,NA,NA
"xjdvc",NA,NA,51.4000015258789,NA,NA,2,52.5,NA,NA
"nrmw6",NA,NA,52.2000007629395,NA,NA,1,45,NA,NA
"k02tx",NA,"yjhjf",50.0999984741211,NA,34,1,22,56,NA
"rv9w5","wyfn0","a5au1",22.8999996185303,46,35.5,1,9,31,42
"ne9y2","ttidj","m3aaq",46.5999984741211,NA,35,1,49,75,NA
"vtz35",NA,NA,45,NA,NA,2,42.5,NA,NA
"extpw","j6n8m","uthcs",29.5,NA,38,1,9,44,NA
"h8d0u",NA,NA,48.9000015258789,NA,NA,2,79,NA,NA
"v7il1",NA,"n5k3f",42.5999984741211,NA,NA,2,46,NA,NA
"tb4vj","ttidj","dwrwp",39.2999992370605,NA,NA,2,39,NA,NA
"ich4e","t0dee","zbzqj",20,52,40,2,6,31.5,38
"lfld7",NA,"dwrwp",44,NA,NA,1,34,NA,NA
"jf5au","speez","qhm6p",43.2999992370605,39.7000007629395,46,2,17,61,59
"oke4m","c46fx","sqrgi",55,NA,54.5999984741211,1,26.3899993896484,52,NA
"bjryc",NA,NA,60.5999984741211,NA,NA,1,35,NA,NA
"m1eah",NA,"ats4w",NA,NA,49.5,2,40,72,NA
"zfj1w",NA,"qgz8u",52.2000007629395,NA,NA,1,57.75,NA,NA
"gbt51","rbnab","bjqq2",11,60,51.7999992370605,2,4.5,25.5,31
"p6ttj",NA,NA,41,NA,NA,2,80,NA,NA
"sp2ka",NA,"b3xwy",NA,NA,NA,1,22,NA,NA
"gamjj",NA,NA,61.4000015258789,NA,NA,1,40,NA,NA
"apk1w",NA,"vejtp",40,NA,NA,1,15,NA,NA
"uvm2v","tyo5j",NA,55.9000015258789,56.5999984741211,NA,1,42,NA,62
"gjedb",NA,NA,56.4000015258789,NA,NA,1,55,NA,NA
"auhw7","rybra","z689b",42,48,45.5999984741211,1,23,40.5,58
"kceij","dsfcm","xvl8g",30,NA,NA,1,11,NA,NA
"sxc0r","x7jtl","a8l2f",21.8999996185303,49,34,1,10.5,31.5,44
"efpax","d9ccr","dq5o2",49.0999984741211,NA,NA,2,40,NA,NA
"salgk",NA,"qnl9l",37.5,NA,NA,1,17,NA,NA
"qwtib","po2le","ocn8u",14,56,36,1,5,43,56
"ue5ws","w7rww","uow54",26,50,42,2,10.8800001144409,29,33
"lx4ja","p26v4","d7f7x",NA,47.7999992370605,55.5999984741211,1,2,22,29
"bixdj","th8z3","zyeil",21.5,29.8999996185303,41,1,7,43,9
"q1f48",NA,"jxi2o",11.3999996185303,NA,39.2000007629395,2,5,30,NA
"wueev","c46fx","dlqd1",55,NA,47,1,35,63,NA
"cbwlr","wlpmf","jyic6",52,54.9000015258789,NA,1,38,NA,64
"kpx3e","y2sty","qgcli",39,NA,NA,2,39,69,NA
"qzxr3","a2v32","cjxuh",53.2000007629395,37,NA,2,18,NA,71
"jb244",NA,NA,17.3999996185303,NA,NA,2,6,NA,NA
"powk7","aku6h","uk9c3",7,47,50,2,0.579999983310699,28.1000003814697,50
"ilq83",NA,NA,NA,NA,NA,1,22,NA,NA
"rwg3s",NA,NA,58,NA,NA,1,33,NA,NA
"bjkyg","ox6il","d6icy",24,61,45,1,10.75,31.5,33.5
"fjm4p",NA,"wblgn",28.3999996185303,NA,47,1,9,43,NA
"o9ojr","wpv0m","oqjue",54,49,NA,1,28.6299991607666,NA,65
"ay8fz","esmlv","zcztq",43.5,NA,NA,2,20,NA,NA
"irvbp","fa25g",NA,45,NA,NA,2,43,NA,NA
"kebcr","ulj5b","uyvui",32,46,43,2,10,33,43
"letpv",NA,"ats4w",NA,NA,49.5,2,31,72,NA
"wmlmm","kfs0n","xe44s",50.4000015258789,56.9000015258789,53.7000007629395,1,22,54,55
"q15ao","bowdn","r40b5",57.2999992370605,59.7999992370605,44.5999984741211,1,21.5,36,68
"bbe2x","po2le","ocn8u",NA,56,36,2,1.5,43,56
"aklvw",NA,"ogln2",57,NA,41,1,41,80,NA
"srchc","wlpmf","mli0b",61,54.9000015258789,NA,1,46,NA,64
"rpwpn",NA,"g1z7b",NA,NA,NA,2,20,62.5,NA
"qy2cq",NA,NA,NA,NA,NA,2,50,NA,NA
"c5bmj",NA,NA,44.7000007629395,NA,NA,1,18,NA,NA
"ckayb","x3n3o","rwegr",NA,NA,46,1,7,49,NA
"vxom1","fa25g","uv5g1",43,NA,52.4000015258789,2,60,70,NA
"eoq20","xxjos","nt880",48,66.5,39,1,17,41,32.5
"f826w","v73ps","kffgo",42.2999992370605,NA,43.5,1,18,33.5,NA
"uq66e","jaaft","hmyv0",18,56,46,1,7,46,54
"g1qed","ir3sz","na25t",55,NA,NA,1,57,NA,NA
"g11sj","rca4l",NA,52,NA,NA,1,74,NA,NA
"y6fjk","ea5cn","qc0oo",20.2000007629395,53,48,2,13,51,55
"nfijx","hify0","ne8a5",NA,NA,49.0999984741211,1,3,40,NA
"hhg8k","jsuka","tde3k",16.8999996185303,52.7000007629395,48.0999984741211,2,6.5,27.5,30
"uxxhu","znbwz","r1f73",45,NA,NA,2,44,NA,NA
"v50hp","wyfn0","jysjd",38,46,39,2,19,34,42
"bz0ap","rybra","z689b",43,48,45.5999984741211,1,15.75,40.5,58
"h5a1i",NA,NA,47.0999984741211,NA,NA,1,60,NA,NA
"rzh4t","r8kjk","bxi1f",48.0999984741211,52,NA,2,37,NA,74
"x88hu","xh6qu","olc6j",47,NA,NA,1,50,NA,NA
"yy4sr","ox6il","d6icy",9,61,45,1,2,31.5,33.5
"rmlmq","rio9m",NA,49,NA,NA,1,41,NA,NA
"ki45c","al4ah","tx7f7",51.7999992370605,47.5999984741211,NA,1,30,43,71
"lk9b7","rbnab","x9uuf",10,60,44.5999984741211,1,3,30.25,31
"oxee9","tnae8","afc3k",35,47,NA,2,35,NA,71
"k6hzn","xwq5s","wlbms",9,46,54.4000015258789,2,3,33,28.3500003814697
"s0rpu","qsctc","gdu7r",NA,NA,50,1,0.800000011920929,22,32
"ivjap","rybra","z689b",9,48,45.5999984741211,2,3.5,40.5,58
"w1g2r","ysya8","hmyv0",41,48,46,2,26.0300006866455,46,54
"t8owb",NA,"r1f73",49.5,NA,NA,2,72,NA,NA
"hd7oi",NA,"ats4w",NA,NA,49.5,2,41,72,NA
"uq7j5",NA,NA,52.4000015258789,NA,NA,2,70,NA,NA
"nd6d5",NA,NA,16.7000007629395,NA,NA,2,5,NA,NA
"n3ht7","hubwk","ptufm",NA,56.7000007629395,40,2,5,31,31
"mjdwx","ulj5b","uyvui",38.2000007629395,46,43,2,13,33,43
"an7vz","li5zb","z3wo6",57,56.4000015258789,49,2,27,51.5,55
"sxx6n","baagb","jysjd",50.9000015258789,NA,39,1,17,34,NA
"pnmpp","jsuka","tde3k",NA,52.7000007629395,48.0999984741211,2,3.75,27.5,30
"r84cz",NA,"a9254",29.1000003814697,NA,51.5999984741211,2,14,26,NA
"x5lt6","qmk6b","gaf6d",42,56.7000007629395,37,2,20.5,40,38
"rh2uu",NA,NA,15.8000001907349,NA,NA,2,7.5,NA,NA
"t4wmg","ir3sz",NA,NA,NA,NA,2,32.5,NA,NA
"cckhc","iv9pi","zw94x",46,NA,42.7999992370605,2,46,65,NA
"jovz2","d34f0","mpe3p",49,NA,NA,1,44,NA,NA
"jp69i","buzbj","hcjnx",NA,57,NA,1,2.5,NA,57
"kw91d","aku6h","swta7",NA,47,39,2,3,47,50
"p2a2e","q9s88","qdrgy",NA,55.9000015258789,52.7999992370605,2,4,37,42
"vk6g5","fl1i2","giu9v",15,42.7000007629395,39,2,5,39,53
"vug9m","rrr7x","cr9g7",51,NA,32.2000007629395,2,43,75,NA
"oc4i0","rjfo6","jqr5t",37.0999984741211,NA,54,2,13,35,NA
"xbla9","w3j91",NA,15.3000001907349,66.6999969482422,NA,2,6.5,NA,50
"t476l","aku6h","uk9c3",15.5,47,50,2,4,28.1000003814697,50
"i4epz","gctbt","r9fbe",17,51,NA,2,7,NA,31.3500003814697
